TeamName,OpponentPointsPerGame,OpponentRushingYards,OpponentRushingYardsPerAttempt,TacklesForLoss,TacklesForLossPercentage,OpponentTimesSacked,OpponentTimesSackedPercentage,QuarterbackHits,QuarterbackHitsPercentage
Rams,21.8,1880,4.3,96,21.7,52,8.7,86,14.4
Broncos,18.1,1458,3.6,83,20.5,52,8.5,89,14.6
Bengals,20,1715,4.1,85,20.1,51,8.3,89,14.6
Packers,21,1896,4.5,73,17.5,47,7.6,86,14
Texans,20.7,1560,4,88,22.6,44,7,105,16.8
Vikings,21.8,1692,4,75,17.6,44,6.7,82,12.5
Dolphins,19.8,1734,4,78,18.1,42,6.5,93,14.5
Bears,17.3,1627,4.2,79,20.4,41,6.5,64,10.1
Panthers,22.7,1761,4.2,63,15.1,39,6.6,61,10.3
Titans,29.4,2035,4.2,81,16.8,39,6.5,84,13.9
Cardinals,22.3,2192,4.3,69,13.6,38,7.1,83,15.5
Browns,23,1898,4.2,59,12.9,38,6,65,10.2
Chargers,21.9,1542,3.8,74,18.2,38,6.3,70,11.6
49ers,17.1,1507,3.7,67,16.5,38,6.3,69,11.4
Patriots,20.7,1630,3.9,71,17.1,37,5.9,66,10.5
Steelers,19.6,1450,3.7,65,16.6,37,6.6,68,12.1
Ravens,21.5,1965,4,80,16.3,37,6.2,85,14.3
Bills,27.2,2333,5,72,15.3,36,6.3,66,11.5
Seahawks,15.3,1649,4.5,56,15.2,36,6,80,13.3
Lions,27.3,1889,4.5,96,22.9,34,5.9,99,17.1
Cowboys,25,2003,4.5,59,13.4,34,6.2,70,12.8
Giants,21.5,2066,4.6,69,15.4,33,5.8,63,11.1
Colts,24.2,2200,5.1,65,15.2,32,5.6,69,12.2
Redskins,24.2,1532,4.2,61,16.8,32,4.8,71,10.6
Eagles,27.8,2021,4.2,78,16.3,30,5.8,59,11.5
Saints,28.4,2361,5.2,60,13.1,30,4.7,75,11.9
Jets,23.4,2138,4.3,67,13.5,30,5.7,63,12
Falcons,18.7,1971,4.8,70,17,29,5,63,10.9
Chiefs,26.6,2171,4.5,71,14.7,27,5.5,50,10.2
Buccaneers,24.6,1320,3.5,105,27.9,27,4.1,57,8.7
Raiders,27.7,1897,4.3,76,17.1,25,4.5,83,15.1
Jaguars,27.8,2256,4.1,51,9.4,20,3.6,59,10.6
