TeamName,OpponentPointsPerGame,OpponentScore,OpponentRushingAttempts,OpponentRushingYards,OpponentRushingYardsPerAttempt,OpponentRushingTouchdowns,OpponentFirstDownsByRushing,OpponentTimeOfPossession
Buccaneers,24.6,394,377,1320,3.5,13,75,30:57
Steelers,19.6,314,391,1450,3.7,9,78,28:57
Broncos,18.1,289,404,1458,3.6,5,73,29:44
49ers,17.1,273,407,1507,3.7,7,72,30:05
Redskins,24.2,388,363,1532,4.2,11,89,29:01
Chargers,21.9,350,406,1542,3.8,10,85,29:15
Texans,20.7,331,390,1560,4,5,94,28:50
Bears,17.3,277,388,1627,4.2,7,75,29:40
Patriots,20.7,331,415,1630,3.9,11,100,30:33
Seahawks,15.3,245,368,1649,4.5,8,80,29:38
Vikings,21.8,348,427,1692,4,10,82,32:34
Bengals,20,320,423,1715,4.1,13,99,30:34
Dolphins,19.8,317,431,1734,4,10,79,32:58
Panthers,22.7,363,416,1761,4.2,11,98,30:25
Rams,21.8,348,442,1880,4.3,18,107,32:04
Lions,27.3,437,420,1889,4.5,13,107,29:29
Packers,21,336,418,1896,4.5,12,83,30:34
Raiders,27.7,443,444,1897,4.3,18,95,31:38
Browns,23,368,457,1898,4.2,14,104,32:19
Ravens,21.5,344,492,1965,4,15,105,32:25
Falcons,18.7,299,411,1971,4.8,16,99,29:08
Cowboys,25,400,441,2003,4.5,17,92,30:54
Eagles,27.8,444,479,2021,4.2,11,108,31:31
Titans,29.4,471,483,2035,4.2,16,122,33:09
Giants,21.5,344,449,2066,4.6,10,104,31:50
Jets,23.4,375,495,2138,4.3,17,96,31:36
Chiefs,26.6,425,482,2171,4.5,11,106,30:16
Cardinals,22.3,357,506,2192,4.3,12,107,31:19
Colts,24.2,387,428,2200,5.1,14,102,30:33
Jaguars,27.8,444,545,2256,4.1,19,133,33:12
Bills,27.2,435,470,2333,5,23,136,30:03
Saints,28.4,454,457,2361,5.2,18,116,32:50
