TeamName,PointsPerGame,RushingYards,RushingYardsPerAttempt,OpponentTacklesForLoss,OpponentTacklesForLossPercentage,TimesSacked,TimesSackedPercentage,OpponentQuarterbackHits,OpponentQuarterbackHitsPercentage
Chargers,22.2,1595,3.8,78,18.6,18,3,74,12.3
Saints,28,2070,4.7,66,14.9,20,3.6,56,10.1
Falcons,22.1,1847,4.3,67,15.6,24,4.3,87,15.7
Steelers,25.4,1667,3.8,72,16.5,24,3.9,67,10.9
Jaguars,26.1,2262,4.3,71,13.5,24,4.4,77,14
Raiders,18.8,1554,4.2,73,19.7,24,4.1,54,9.3
Ravens,24.7,1856,4,97,21.1,27,4.5,60,10.1
Vikings,23.9,1957,3.9,89,17.8,27,4.9,86,15.5
Rams,29.9,1953,4.3,82,18.1,28,5.1,72,13.2
Cowboys,22.1,2170,4.5,75,15.6,32,6.1,80,15.2
Dolphins,17.6,1388,3.9,96,26.7,33,5.2,79,12.4
Giants,15.4,1549,3.9,82,20.8,34,5.3,71,11.1
Panthers,22.7,2102,4.3,85,17.3,35,6.5,72,13.4
Patriots,28.6,1889,4.2,80,17.9,35,5.6,85,13.7
Titans,20.9,1833,4.1,84,19,35,6.6,76,14.3
Eagles,28.6,2115,4.5,100,21.1,36,6,110,18.3
Chiefs,25.9,1903,4.7,77,19,37,6.4,84,14.5
Bears,16.5,1788,4.2,113,26.8,39,7.6,82,16
Bengals,18.1,1366,3.6,95,25.2,40,7.3,63,11.5
Buccaneers,20.9,1450,3.7,68,17.5,40,6.2,105,16.3
Redskins,21.4,1448,3.6,96,23.9,41,7.1,103,17.7
Seahawks,22.9,1629,4,97,23.7,43,7.2,124,20.7
49ers,20.7,1664,4.1,89,21.8,43,6.6,119,18.3
Lions,25.6,1221,3.4,111,30.6,47,7.6,92,14.9
Bills,18.9,2017,4.1,114,23.4,47,9,93,17.8
Jets,18.6,1702,4,108,25.3,47,8.4,96,17.2
Browns,14.6,1714,4.5,94,24.5,50,8,130,20.8
Packers,20,1724,4.5,73,18.9,51,8.3,110,17.9
Cardinals,18.4,1386,3.4,99,24.2,52,8,120,18.5
Broncos,18.1,1854,4.1,89,19.5,53,8.6,105,17
Texans,21.1,1842,4.1,96,21.4,54,9.3,124,21.4
Colts,16.4,1661,3.7,106,23.5,56,10.3,128,23.6
