TeamName,PointsPerGame,Score,OffensivePlays,OffensiveYards,OffensiveYardsPerPlay,FirstDowns,ThirdDownConversions,ThirdDownAttempts,ThirdDownPercentage,RedZoneConversions,RedZoneAttempts,RedZonePercentage,Penalties,PenaltyYards,TimeOfPossession,TurnoverDifferential
Patriots,28.6,458,1070,6307,5.9,389,82,202,40.6,42,70,60,95,835,31:37,6
Saints,28,448,1000,6259,6.3,332,73,194,37.6,32,55,58.2,105,967,31:09,7
Steelers,25.4,406,1051,6047,5.8,348,92,209,44,32,63,50.8,101,896,32:59,2
Chargers,22.2,355,1020,6026,5.9,337,84,209,40.2,22,47,46.8,108,927,30:21,12
Chiefs,25.9,415,985,6007,6.1,322,78,199,39.2,21,50,42,118,1044,31:55,15
Jaguars,26.1,417,1078,5855,5.4,332,85,227,37.4,32,50,64,112,936,32:19,10
Eagles,28.6,457,1073,5852,5.5,338,96,230,41.7,36,55,65.5,116,962,33:41,11
Falcons,22.1,353,984,5837,5.9,330,88,197,44.7,27,54,50,102,918,30:50,-2
Buccaneers,20.9,335,1034,5816,5.6,352,85,196,43.4,26,53,49.1,104,795,30:43,-1
Rams,29.9,478,1000,5784,5.8,311,88,214,41.1,38,69,55.1,107,922,30:06,7
Vikings,23.9,382,1055,5710,5.4,334,94,216,43.5,33,57,57.9,100,949,32:26,5
49ers,20.7,331,1058,5589,5.3,321,91,234,38.9,24,51,47.1,123,988,29:16,-3
Lions,25.6,410,980,5404,5.5,296,81,209,38.8,26,46,56.5,104,968,30:48,10
Cowboys,22.1,354,1005,5311,5.3,314,87,203,42.9,31,52,59.6,97,939,30:12,-1
Seahawks,22.9,366,1007,5286,5.2,299,79,212,37.3,25,45,55.6,148,1342,29:19,8
Redskins,21.4,342,982,5199,5.3,278,66,204,32.4,25,46,54.3,92,732,30:45,-4
Broncos,18.1,289,1075,5185,4.8,297,94,241,39,19,48,39.6,113,885,31:28,-17
Raiders,18.8,301,952,5185,5.4,287,82,204,40.2,20,34,58.8,114,1009,29:53,-14
Panthers,22.7,363,1026,5179,5,320,93,222,41.9,28,52,53.8,83,682,32:17,-1
Texans,21.1,338,1027,5120,5,313,76,209,36.4,22,42,52.4,124,1050,30:06,-12
Giants,15.4,246,1036,5028,4.9,271,74,227,32.6,19,39,48.7,91,895,29:42,-3
Cardinals,18.4,295,1059,5026,4.7,310,82,233,35.2,20,48,41.7,110,880,31:10,-4
Titans,20.9,334,974,5024,5.2,290,71,202,35.1,21,40,52.5,85,785,30:06,-4
Browns,14.6,234,1008,4942,4.9,290,73,216,33.8,19,39,48.7,110,924,28:12,-28
Dolphins,17.6,281,995,4923,4.9,284,64,202,31.7,20,38,52.6,137,1154,29:25,-14
Packers,20,320,999,4891,4.9,307,83,211,39.3,26,42,61.9,96,789,29:09,-3
Ravens,24.7,395,1054,4886,4.6,311,76,223,34.1,30,52,57.7,91,749,31:53,17
Jets,18.6,298,984,4884,5,269,81,228,35.5,18,33,54.5,119,1035,30:13,-4
Bills,18.9,302,1010,4842,4.8,278,101,241,41.9,23,44,52.3,98,872,28:20,9
Bears,16.5,264,934,4599,4.9,267,71,205,34.6,20,33,60.6,115,943,29:58,0
Colts,16.4,263,994,4553,4.6,267,87,228,38.2,16,40,40,92,779,30:41,5
Bengals,18.1,290,927,4488,4.8,267,67,199,33.7,24,43,55.8,110,1027,27:18,-9
