TeamName,OpponentPointsPerGame,OpponentScore,OpponentPassingCompletions,OpponentPassingYards,OpponentPassingYardsPerAttempt,OpponentPassingTouchdowns,OpponentFirstDownsByPassing
Broncos,18.5,296,344,3193,5.6,19,162
Seahawks,17.3,277,333,3364,6.1,14,175
Texans,19.6,313,326,3366,6.1,24,173
Bears,24.8,397,322,3593,7,31,182
Cowboys,23.4,374,330,3632,7.2,19,172
Packers,20.2,323,321,3642,6.6,20,183
Titans,26.4,423,319,3678,7.3,34,192
Cardinals,19.6,313,343,3687,6.4,24,177
Chiefs,17.9,287,349,3698,6.1,25,193
Ravens,25.1,401,350,3737,6.9,30,189
Panthers,19.2,308,390,3752,5.8,21,198
Vikings,18.9,302,359,3759,6.7,24,189
Jets,19.6,314,343,3763,6.3,25,185
Lions,25,400,360,3786,7.2,27,191
Chargers,24.9,398,328,3786,7.4,22,170
Buccaneers,26.1,417,378,3840,7.1,31,208
Patriots,19.7,315,361,3851,6.5,24,204
Falcons,21.6,345,370,3882,6.9,19,197
Bills,22.4,359,347,3972,6.6,30,197
Bengals,17.4,279,415,3976,6.2,18,202
Dolphins,24.3,389,350,4000,7.4,31,203
Browns,27,432,322,4012,7.9,34,186
Rams,20.6,330,399,4065,6.8,21,192
Colts,25.5,408,354,4114,7,29,210
Redskins,23.7,379,354,4128,7.3,30,202
Raiders,24.9,399,404,4140,6.5,25,206
49ers,24.2,387,375,4179,7.6,21,199
Eagles,26.9,430,394,4273,6.8,36,239
Jaguars,28,448,390,4291,7.1,29,222
Steelers,19.9,319,402,4350,7,29,231
Saints,29.8,476,372,4544,8.4,45,223
Giants,27.6,442,423,4783,7.5,31,236
