TeamName,OpponentPointsPerGame,OpponentScore,OpponentRushingAttempts,OpponentRushingYards,OpponentRushingYardsPerAttempt,OpponentRushingTouchdowns,OpponentFirstDownsByRushing,OpponentTimeOfPossession
Seahawks,17.3,277,362,1304,3.6,10,71,29:51
Jets,19.6,314,373,1335,3.6,4,62,29:21
Broncos,18.5,296,408,1337,3.3,10,81,31:37
Panthers,19.2,308,364,1415,3.9,11,74,29:33
Steelers,19.9,319,382,1459,3.8,6,71,31:54
Cardinals,19.6,313,373,1460,3.9,9,79,28:56
Bengals,17.4,279,344,1477,4.3,8,74,30:49
Chiefs,17.9,287,383,1571,4.1,7,86,29:05
Patriots,19.7,315,397,1580,4,8,77,30:02
Texans,19.6,313,388,1597,4.1,10,79,29:12
Buccaneers,26.1,417,466,1606,3.4,14,104,32:35
Ravens,25.1,401,418,1661,4,10,80,31:36
Raiders,24.9,399,406,1678,4.1,12,94,31:58
Falcons,21.6,345,416,1680,4,20,107,28:25
Jaguars,28,448,464,1709,3.7,15,102,33:47
Bills,22.4,359,394,1730,4.4,10,87,29:42
Vikings,18.9,302,411,1748,4.3,7,94,30:48
Titans,26.4,423,462,1797,3.9,11,101,31:44
Lions,25,400,428,1808,4.2,19,96,29:17
Rams,20.6,330,453,1820,4,7,98,33:12
Packers,20.2,323,420,1905,4.5,13,96,30:52
Bears,24.8,397,433,1934,4.5,9,103,29:26
Cowboys,23.4,374,461,1934,4.2,16,113,29:08
Giants,27.6,442,444,1942,4.4,15,104,32:03
Colts,25.5,408,452,1952,4.3,14,89,31:06
Redskins,23.7,379,406,1962,4.8,12,103,28:26
Chargers,24.9,398,417,2005,4.8,17,101,29:41
Dolphins,24.3,389,502,2019,4,13,112,33:38
49ers,24.2,387,504,2020,4,20,128,34:09
Browns,27,432,458,2055,4.5,11,104,30:08
Saints,29.8,476,421,2071,4.9,12,103,29:59
Eagles,26.9,430,478,2153,4.5,10,100,34:09
