TeamName,OpponentPointsPerGame,OpponentScore,OpponentPassingCompletions,OpponentPassingAttempts,OpponentCompletionPercentage,OpponentPassingYards,OpponentPassingYardsPerAttempt,OpponentPassingYardsPerCompletion,OpponentPassingTouchdowns,OpponentPassingInterceptions,OpponentFirstDownsByPassing,OpponentTimesSacked,OpponentTimesSackedYards,OpponentPasserRating
Broncos,18.5,296,344,573,60,3193,5.6,9.3,19,14,162,52,351,76
Seahawks,17.3,277,333,548,60.8,3364,6.1,10.1,14,14,175,37,255,76
Texans,19.6,313,326,553,59,3366,6.1,10.3,24,14,173,45,311,80
Bears,24.8,397,322,512,62.9,3593,7,11.2,31,8,182,35,237,97
Cowboys,23.4,374,330,506,65.2,3632,7.2,11,19,8,172,31,229,92
Packers,20.2,323,321,551,58.3,3642,6.6,11.3,20,16,183,43,256,78
Titans,26.4,423,319,502,63.5,3678,7.3,11.5,34,11,192,39,271,99
Cardinals,19.6,313,343,573,59.9,3687,6.4,10.7,24,19,177,36,270,79
Chiefs,17.9,287,349,607,57.5,3698,6.1,10.6,25,22,193,47,290,74
Ravens,25.1,401,350,545,64.2,3737,6.9,10.7,30,6,189,37,220,98
Panthers,19.2,308,390,650,60,3752,5.8,9.6,21,24,198,44,302,72
Vikings,18.9,302,359,561,64,3759,6.7,10.5,24,13,189,43,283,88
Jets,19.6,314,343,601,57.1,3763,6.3,11,25,18,185,39,278,77
Lions,25,400,360,528,68.2,3786,7.2,10.5,27,9,191,43,279,99
Chargers,24.9,398,328,510,64.3,3786,7.4,11.5,22,11,170,32,222,92
Buccaneers,26.1,417,378,540,70,3840,7.1,10.2,31,11,208,38,232,101
Patriots,19.7,315,361,596,60.6,3851,6.5,10.7,24,12,204,49,358,85
Falcons,21.6,345,370,561,66,3882,6.9,10.5,19,15,197,19,117,86
Bills,22.4,359,347,602,57.6,3972,6.6,11.4,30,17,197,21,125,82
Bengals,17.4,279,415,646,64.2,3976,6.2,9.6,18,21,202,42,288,77
Dolphins,24.3,389,350,542,64.6,4000,7.4,11.4,31,13,203,31,225,96
Browns,27,432,322,511,63,4012,7.9,12.5,34,11,186,29,157,101
Rams,20.6,330,399,597,66.8,4065,6.8,10.2,21,13,192,41,236,89
Colts,25.5,408,354,585,60.5,4114,7,11.6,29,17,210,35,251,86
Redskins,23.7,379,354,566,62.5,4128,7.3,11.7,30,11,202,38,264,94
Raiders,24.9,399,404,641,63,4140,6.5,10.2,25,14,206,38,211,85
49ers,24.2,387,375,549,68.3,4179,7.6,11.1,21,9,199,28,196,97
Eagles,26.9,430,394,633,62.2,4273,6.8,10.8,36,15,239,37,243,91
Jaguars,28,448,390,602,64.8,4291,7.1,11,29,9,222,36,237,96
Steelers,19.9,319,402,625,64.3,4350,7,10.8,29,17,231,48,311,89
Saints,29.8,476,372,544,68.4,4544,8.4,12.2,45,9,223,31,211,115
Giants,27.6,442,423,638,66.3,4783,7.5,11.3,31,15,236,23,137,95
