TeamName,PointsPerGame,Score,PassingCompletions,PassingAttempts,CompletionPercentage,PassingYards,PassingYardsPerAttempt,PassingYardsPerCompletion,PassingTouchdowns,PassingInterceptions,FirstDownsByPassing,TimesSacked,TimesSackedYards,PasserRating
Saints,34.2,547,472,662,71.3,5347,8.1,11.3,46,14,280,24,undefined,110
Patriots,32.1,513,402,612,65.7,5084,8.3,12.6,39,12,262,32,undefined,105
Packers,35,560,375,551,68.1,4918,8.9,13.1,51,8,230,41,undefined,121
Lions,29.6,474,423,666,63.5,4814,7.2,11.4,41,16,244,36,undefined,96
Giants,24.6,394,358,588,60.9,4711,8,13.2,29,16,215,28,undefined,91
Chargers,25.4,406,366,582,62.9,4424,7.6,12.1,27,20,234,31,undefined,87
Cowboys,23.1,369,376,570,66,4201,7.4,11.2,33,12,219,39,undefined,98
Falcons,25.1,402,365,594,61.4,4192,7.1,11.5,29,13,215,26,undefined,90
Eagles,24.8,396,330,554,59.6,4110,7.4,12.5,22,25,197,33,undefined,77
Steelers,20.3,325,341,539,63.3,4054,7.5,11.9,21,15,221,42,undefined,88
Raiders,22.4,359,315,524,60.1,3960,7.6,12.6,20,23,186,25,undefined,78
Titans,20.3,325,353,584,60.4,3923,6.7,11.1,22,14,185,24,undefined,83
Panthers,25.4,406,312,519,60.1,3826,7.4,12.3,21,17,175,36,undefined,83
Redskins,18,288,346,591,58.5,3770,6.4,10.9,19,24,204,39,undefined,71
Bills,23.2,372,356,578,61.6,3709,6.4,10.4,24,25,180,22,undefined,76
Buccaneers,17.9,287,365,588,62.1,3650,6.2,10,17,24,180,32,undefined,72
Cardinals,19.5,312,307,550,55.8,3567,6.5,11.6,21,23,175,54,undefined,71
Texans,23.8,381,288,467,61.7,3506,7.5,12.2,20,9,176,33,undefined,91
Ravens,23.6,378,314,544,57.7,3423,6.3,10.9,21,12,181,33,undefined,80
Bengals,21.5,344,308,535,57.6,3340,6.2,10.8,21,14,160,25,undefined,78
Jets,23.6,377,310,546,56.8,3297,6,10.6,26,18,173,40,undefined,77
Seahawks,20.1,321,299,509,58.7,3108,6.1,10.4,15,14,153,48,undefined,75
Dolphins,20.6,329,281,470,59.8,3104,6.6,11,20,13,167,52,undefined,82
Browns,13.6,218,320,570,56.1,3088,5.4,9.6,16,13,173,40,undefined,71
Chiefs,13.2,212,300,501,59.9,3086,6.2,10.3,13,18,163,34,undefined,71
Bears,22.1,353,268,473,56.7,3011,6.4,11.2,18,20,153,49,undefined,71
Colts,15.2,243,302,534,56.6,2995,5.6,9.9,14,14,170,35,undefined,70
Vikings,21.2,340,286,510,56.1,2957,5.8,10.3,20,17,159,49,undefined,72
49ers,23.8,380,278,452,61.5,2936,6.5,10.6,18,5,150,44,undefined,89
Rams,12.1,193,291,548,53.1,2863,5.2,9.8,9,10,158,55,undefined,66
Broncos,19.3,309,217,430,50.5,2436,5.7,11.2,20,14,130,43,undefined,70
Jaguars,15.2,243,240,469,51.2,2179,4.6,9.1,12,15,122,44,undefined,59
