TeamName,OpponentPointsPerGame,OpponentScore,OpponentRushingAttempts,OpponentRushingYards,OpponentRushingYardsPerAttempt,OpponentRushingTouchdowns,OpponentFirstDownsByRushing,OpponentTimeOfPossession
Steelers,14.5,232,333,1004,3,5,61,29:34
Bears,17.9,286,387,1441,3.7,14,88,30:29
Jets,19,304,408,1455,3.6,11,70,28:26
Chargers,20.1,322,404,1500,3.7,14,77,27:57
Ravens,16.9,270,384,1503,3.9,5,79,30:56
49ers,21.6,346,447,1547,3.5,9,86,32:33
Dolphins,20.8,333,447,1601,3.6,8,84,29:29
Giants,21.7,347,388,1623,4.2,11,88,27:28
Vikings,21.8,348,418,1635,3.9,10,87,30:55
Falcons,18,288,366,1694,4.6,9,87,28:12
Patriots,19.6,313,410,1728,4.2,10,99,31:25
Cowboys,27.2,436,401,1737,4.3,11,84,29:02
Texans,26.7,427,433,1751,4,16,113,31:22
Chiefs,20.4,326,408,1764,4.3,11,88,30:14
Eagles,23.6,377,423,1766,4.2,12,91,29:45
Saints,19.2,307,421,1797,4.3,14,94,29:44
Rams,20.5,328,404,1810,4.5,7,88,29:19
Packers,15,240,395,1838,4.7,6,82,29:47
Bengals,24.7,395,416,1843,4.4,15,97,29:46
Titans,21.2,339,474,1851,3.9,7,107,34:24
Seahawks,25.4,407,452,1903,4.2,13,91,32:27
Jaguars,26.2,419,416,1945,4.7,19,98,28:22
Panthers,25.5,408,503,1981,3.9,21,121,33:36
Lions,23.1,369,443,2001,4.5,18,98,31:40
Colts,24.2,388,445,2032,4.6,14,111,31:32
Redskins,23.6,377,444,2041,4.6,15,106,33:54
Browns,20.8,332,505,2070,4.1,7,102,33:34
Buccaneers,19.9,318,444,2107,4.7,12,118,30:30
Raiders,23.2,371,474,2138,4.5,14,98,29:58
Cardinals,27.1,434,526,2323,4.4,19,123,34:57
Broncos,29.4,471,531,2473,4.7,26,126,32:51
Bills,26.6,425,571,2714,4.8,18,138,33:24
