TeamName,OpponentPointsPerGame,OpponentScore,OpponentPassingCompletions,OpponentPassingYards,OpponentPassingYardsPerAttempt,OpponentPassingTouchdowns,OpponentFirstDownsByPassing
Chargers,20.1,322,285,2844,5.8,18,153
Raiders,23.2,371,249,3025,6.4,29,150
Bills,26.6,425,294,3072,6.5,28,179
Saints,19.2,307,306,3103,6.3,13,150
Packers,15,240,296,3107,5.9,16,163
Jets,19,304,269,3209,6,24,169
Buccaneers,19.9,318,307,3216,6.2,23,171
Dolphins,20.8,333,288,3348,6.7,22,166
Giants,21.7,347,308,3349,6.2,24,159
Vikings,21.8,348,333,3367,6.4,25,178
Panthers,25.5,408,326,3393,6.5,19,176
Steelers,14.5,232,363,3425,5.8,15,182
Colts,24.2,388,356,3433,6.4,22,190
Bengals,24.7,395,326,3469,6.7,21,170
Eagles,23.6,377,309,3469,6.5,31,185
Lions,23.1,369,330,3498,6.8,23,187
Chiefs,20.4,326,319,3519,6.1,23,186
Browns,20.8,332,309,3531,7,26,195
Rams,20.5,328,328,3578,6.3,21,191
Bears,17.9,286,363,3588,6.2,14,183
Ravens,16.9,270,349,3599,6,22,187
Falcons,18,288,364,3625,6.5,23,183
Cardinals,27.1,434,324,3654,6.9,22,178
49ers,21.6,346,358,3696,6.7,25,188
Broncos,29.4,471,297,3780,7.5,26,184
Cowboys,27.2,436,348,3891,7.2,33,200
Seahawks,25.4,407,339,3994,6.8,31,206
Jaguars,26.2,419,329,4004,7.9,28,197
Titans,21.2,339,410,4032,6.5,23,214
Patriots,19.6,313,388,4136,6.8,25,226
Redskins,23.6,377,367,4187,7.2,23,207
Texans,26.7,427,354,4280,7.8,33,211
