TeamName,OpponentPointsPerGame,OpponentRushingYards,OpponentRushingYardsPerAttempt,TacklesForLoss,TacklesForLossPercentage,OpponentTimesSacked,OpponentTimesSackedPercentage,QuarterbackHits,QuarterbackHitsPercentage
Steelers,14.5,1004,3,70,21,48,7.5,73,11.4
Packers,15,1838,4.7,75,19,47,8.2,88,15.3
Giants,21.7,1623,4.2,81,20.9,47,8,101,17.2
Raiders,23.2,2138,4.5,87,18.4,47,9.1,90,17.4
Chargers,20.1,1500,3.7,83,20.5,47,8.8,62,11.6
Lions,23.1,2001,4.5,82,18.5,44,7.8,84,14.9
Rams,20.5,1810,4.5,88,21.8,43,7,85,13.9
Titans,21.2,1851,3.9,90,19,40,6,97,14.6
Jets,19,1455,3.6,70,17.2,40,7,74,13
Eagles,23.6,1766,4.2,94,22.2,39,6.8,64,11.1
Chiefs,20.4,1764,4.3,62,15.2,39,6.3,81,13.1
Dolphins,20.8,1601,3.6,87,19.5,39,7.2,64,11.8
Seahawks,25.4,1903,4.2,68,15,37,5.9,76,12.2
Cowboys,27.2,1737,4.3,63,15.7,36,6.2,68,11.8
49ers,21.6,1547,3.5,72,16.1,36,6.1,72,12.3
Patriots,19.6,1728,4.2,60,14.6,35,5.4,65,10.1
Cardinals,27.1,2323,4.4,87,16.5,33,5.8,68,12
Bears,17.9,1441,3.7,79,20.4,33,5.4,68,11.1
Saints,19.2,1797,4.3,76,18.1,33,6.3,67,12.7
Falcons,18,1694,4.6,72,19.7,31,5.2,53,9
Panthers,25.5,1981,3.9,85,16.9,31,5.6,73,13.1
Texans,26.7,1751,4,71,16.4,30,5.2,91,15.8
Colts,24.2,2032,4.6,63,14.2,30,5.3,64,11.3
Vikings,21.8,1635,3.9,78,18.7,30,5.4,70,12.5
Browns,20.8,2070,4.1,48,9.5,29,5.4,76,14.2
Redskins,23.6,2041,4.6,55,12.4,29,4.8,72,11.9
Bengals,24.7,1843,4.4,55,13.2,27,5,77,14.2
Ravens,16.9,1503,3.9,60,15.6,27,4.3,62,10
Bills,26.6,2714,4.8,62,10.9,27,5.4,55,11
Jaguars,26.2,1945,4.7,68,16.3,26,4.9,68,12.8
Buccaneers,19.9,2107,4.7,69,15.5,26,4.8,55,10.1
Broncos,29.4,2473,4.7,60,11.3,23,4.4,59,11.2
