TeamName,OpponentPointsPerGame,OpponentScore,OpponentPassingCompletions,OpponentPassingYards,OpponentPassingYardsPerAttempt,OpponentPassingTouchdowns,OpponentFirstDownsByPassing
Seahawks,14.4,231,309,2752,5.3,16,156
Saints,19,304,304,3105,6.1,20,168
Texans,26.8,428,287,3123,6.5,29,158
Bills,24.2,388,310,3271,5.8,28,170
Bengals,19.1,305,362,3344,5.4,22,178
Panthers,15.1,241,375,3429,6.1,17,178
49ers,17,272,345,3536,6,19,181
Browns,25.4,406,363,3538,5.8,29,197
Steelers,23.1,370,329,3546,6.2,21,174
Giants,23.9,383,361,3573,5.9,21,198
Titans,23.8,381,344,3612,6.6,15,191
Ravens,22,352,314,3681,6.7,25,176
Colts,21,336,324,3711,6.9,21,191
Cardinals,20.2,324,367,3728,6,29,208
Bears,29.9,478,315,3730,7.4,25,184
Dolphins,20.9,335,344,3752,6.5,17,192
Buccaneers,24.3,389,352,3806,7,30,190
Patriots,21.1,338,336,3824,6.5,25,208
Rams,22.8,364,355,3874,7.4,21,203
Redskins,29.9,478,337,3896,7.6,29,204
Falcons,27.7,443,341,3897,7.6,31,196
Jets,24.2,387,345,3947,6.7,26,198
Lions,23.5,376,338,3950,6.9,24,197
Packers,26.8,428,332,3956,7.3,30,190
Jaguars,28.1,449,354,3962,7.2,29,200
Chiefs,19.1,305,334,3962,6.7,25,189
Broncos,24.9,399,357,4070,6.6,29,208
Raiders,28.3,453,374,4092,7.5,33,202
Chargers,21.8,348,364,4139,7.6,23,208
Cowboys,27,432,403,4589,7.4,33,231
Vikings,30,480,420,4591,7.1,37,247
Eagles,23.9,382,408,4636,6.9,25,239
