TeamName,OpponentPointsPerGame,OpponentRushingYards,OpponentRushingYardsPerAttempt,TacklesForLoss,TacklesForLossPercentage,OpponentTimesSacked,OpponentTimesSackedPercentage,QuarterbackHits,QuarterbackHitsPercentage
Panthers,15.1,1391,4,92,26.1,60,9.6,99,15.9
Bills,24.2,2063,4.4,98,20.8,56,9.1,94,15.2
Rams,22.8,1646,3.7,100,22.7,53,9.2,90,15.7
Saints,19,1786,4.6,78,20.2,49,8.8,95,17.1
Patriots,21.1,2145,4.5,69,14.3,48,7.5,93,14.6
Cardinals,20.2,1351,3.7,92,24.9,47,7,110,16.4
Chiefs,19.1,1923,4.5,69,16.1,47,7.4,73,11.4
Packers,26.8,2000,4.6,80,18.5,44,7.5,61,10.5
Seahawks,14.4,1626,3.9,70,16.6,44,7.7,98,17.3
Bengals,19.1,1544,4,66,17.1,43,6.5,101,15.4
Colts,21,2002,4.5,60,13.4,42,7.3,81,14
Dolphins,20.9,1998,4.1,68,14,42,6.8,84,13.5
Vikings,30,1774,4,84,19,42,6.1,84,12.2
Broncos,24.9,1626,3.9,94,22.4,41,6.3,85,13
Jets,24.2,1412,3.4,83,19.7,41,6.5,80,12.8
Browns,25.4,1781,3.9,65,14.1,40,6.2,79,12.2
Ravens,22,1687,3.8,76,17.3,40,6.8,80,13.5
Raiders,28.3,1727,3.9,84,19,38,6.5,71,12.1
49ers,17,1535,3.9,72,18.1,38,6.1,79,12.7
Eagles,23.9,1668,3.8,73,16.5,37,5.2,52,7.4
Titans,23.8,1796,4,68,15.2,36,6.2,69,11.9
Redskins,29.9,1769,4,77,17.4,36,6.5,69,12.5
Chargers,21.8,1725,4.6,64,17,35,6,55,9.4
Buccaneers,24.3,1762,4,87,19.9,35,6,82,14.1
Steelers,23.1,1849,4.3,60,13.9,34,5.6,65,10.8
Cowboys,27,2056,4.7,70,16,34,5.2,63,9.6
Giants,23.9,1745,3.8,73,16.1,34,5.4,83,13.1
Lions,23.5,1596,4.2,77,20.4,33,5.5,82,13.6
Falcons,27.7,2173,4.8,59,13,32,5.8,56,10.2
Texans,26.8,1958,4.3,71,15.6,32,6.2,103,20
Bears,29.9,2583,5.3,64,13.3,31,5.8,45,8.4
Jaguars,28.1,2107,4.1,58,11.4,31,5.3,71,12.2
