TeamName,OpponentPointsPerGame,OpponentScore,OpponentRushingAttempts,OpponentRushingYards,OpponentRushingYardsPerAttempt,OpponentRushingTouchdowns,OpponentFirstDownsByRushing,OpponentTimeOfPossession
Cardinals,20.2,324,370,1351,3.7,5,68,29:18
Panthers,15.1,241,352,1391,4,4,70,28:06
Jets,24.2,387,421,1412,3.4,9,68,30:24
49ers,17,272,397,1535,3.9,11,77,29:26
Bengals,19.1,305,385,1544,4,6,72,29:48
Lions,23.5,376,377,1596,4.2,10,62,28:06
Broncos,24.9,399,420,1626,3.9,15,90,30:18
Seahawks,14.4,231,422,1626,3.9,4,83,31:37
Rams,22.8,364,440,1646,3.7,18,87,31:55
Eagles,23.9,382,443,1668,3.8,12,100,34:36
Ravens,22,352,440,1687,3.8,7,79,31:39
Chargers,21.8,348,376,1725,4.6,14,98,28:31
Raiders,28.3,453,442,1727,3.9,15,100,30:06
Giants,23.9,383,454,1745,3.8,12,101,31:12
Buccaneers,24.3,389,438,1762,4,10,95,31:49
Redskins,29.9,478,443,1769,4,23,102,29:29
Vikings,30,480,441,1774,4,14,101,33:18
Browns,25.4,406,462,1781,3.9,13,103,31:19
Saints,19,304,387,1786,4.6,11,82,27:19
Titans,23.8,381,446,1796,4,21,108,30:18
Steelers,23.1,370,433,1849,4.3,18,106,29:07
Chiefs,19.1,305,428,1923,4.5,9,88,30:38
Texans,26.8,428,454,1958,4.3,11,88,30:30
Dolphins,20.9,335,484,1998,4.1,14,114,32:49
Packers,26.8,428,432,2000,4.6,16,116,30:03
Colts,21,336,448,2002,4.5,14,101,30:19
Cowboys,27,432,437,2056,4.7,17,122,31:58
Bills,24.2,388,472,2063,4.4,10,98,32:59
Jaguars,28.1,449,508,2107,4.1,20,121,33:38
Patriots,21.1,338,481,2145,4.5,11,110,31:05
Falcons,27.7,443,455,2173,4.8,14,102,30:51
Bears,29.9,478,483,2583,5.3,22,147,30:12
