TeamName,OpponentPointsPerGame,OpponentScore,OpponentOffensivePlays,OpponentOffensiveYards,OpponentOffensiveYardsPerPlay,OpponentFirstDowns,OpponentThirdDownConversions,OpponentThirdDownAttempts,OpponentThirdDownPercentage,OpponentRedZoneConversions,OpponentRedZoneAttempts,OpponentRedZonePercentage,OpponentPenalties,OpponentPenaltyYards,OpponentTimeOfPossession,OpponentTurnoverDifferential
Seahawks,14.4,231,990,4378,4.4,282,76,216,35.2,13,36,36.1,98,879,31:37,-20
Panthers,15.1,241,975,4820,4.9,278,76,212,35.8,17,41,41.5,84,753,28:06,-11
Bengals,19.1,305,1042,4888,4.7,282,74,225,32.9,18,36,50,69,692,29:48,-1
Saints,19,304,943,4891,5.2,274,69,199,34.7,26,46,56.5,91,750,27:19,0
49ers,17,272,1020,5071,5,284,76,223,34.1,22,41,53.7,96,878,29:26,-12
Cardinals,20.2,324,1042,5079,4.9,309,78,221,35.3,26,48,54.2,111,960,29:18,1
Texans,26.8,428,970,5081,5.2,282,75,217,34.6,32,48,66.7,102,809,30:30,20
Giants,23.9,383,1089,5318,4.9,327,93,232,40.1,25,46,54.3,105,904,31:12,15
Browns,25.4,406,1107,5319,4.8,328,109,244,44.7,32,50,64,95,745,31:19,8
Bills,24.2,388,1089,5334,4.9,308,91,245,37.1,24,51,47.1,108,931,32:59,-3
Jets,24.2,387,1048,5359,5.1,293,85,231,36.8,22,49,44.9,92,833,30:24,14
Ravens,22,352,1032,5368,5.2,284,78,233,33.5,20,41,48.8,126,1196,31:39,5
Steelers,23.1,370,1036,5395,5.2,303,91,230,39.6,31,55,56.4,92,800,29:07,4
Titans,23.8,381,1027,5408,5.3,329,69,201,34.3,32,50,64,95,779,30:18,0
Rams,22.8,364,1014,5520,5.4,337,78,201,38.8,31,61,50.8,105,978,31:55,-8
Lions,23.5,376,982,5546,5.6,290,64,211,30.3,16,42,38.1,87,681,28:06,12
Buccaneers,24.3,389,1020,5568,5.5,324,80,204,39.2,28,56,50,105,1012,31:49,-10
Redskins,29.9,478,993,5665,5.7,329,66,194,34,38,60,63.3,83,697,29:29,8
Broncos,24.9,399,1074,5696,5.3,339,83,218,38.1,37,60,61.7,97,807,30:18,0
Colts,21,336,1026,5713,5.6,319,79,210,37.6,24,41,58.5,112,990,30:19,-13
Dolphins,20.9,335,1106,5750,5.2,327,91,238,38.2,26,56,46.4,95,748,32:49,2
Raiders,28.3,453,1029,5819,5.7,330,91,211,43.1,37,62,59.7,87,686,30:06,9
Chargers,21.8,348,959,5864,6.1,327,70,180,38.9,28,45,62.2,100,850,28:31,4
Chiefs,19.1,305,1067,5885,5.5,303,78,229,34.1,19,37,51.4,112,852,30:38,-18
Packers,26.8,428,1015,5956,5.9,330,78,204,38.2,35,57,61.4,99,883,30:03,3
Patriots,21.1,338,1118,5969,5.3,338,98,232,42.2,28,50,56,110,951,31:05,-9
Jaguars,28.1,449,1090,6069,5.6,353,96,226,42.5,39,65,60,87,729,33:38,6
Falcons,27.7,443,1003,6070,6.1,326,96,209,45.9,34,57,59.6,104,885,30:51,7
Eagles,23.9,382,1150,6304,5.5,368,93,231,40.3,26,49,53.1,106,855,34:36,-12
Bears,29.9,478,1021,6313,6.2,353,83,200,41.5,34,59,57.6,69,647,30:12,-5
Vikings,30,480,1132,6365,5.6,368,102,231,44.2,39,63,61.9,100,1003,33:18,12
Cowboys,27,432,1094,6645,6.1,388,91,210,43.3,40,62,64.5,112,875,31:58,-8
