TeamName,PointsPerGame,Score,OffensivePlays,OffensiveYards,OffensiveYardsPerPlay,FirstDowns,ThirdDownConversions,ThirdDownAttempts,ThirdDownPercentage,RedZoneConversions,RedZoneAttempts,RedZonePercentage,Penalties,PenaltyYards,TimeOfPossession,TurnoverDifferential
Saints,29.3,469,1105,6816,6.2,395,107,220,48.6,45,68,66.2,107,969,31:57,-3
Falcons,33.8,540,995,6653,6.7,379,75,178,42.1,39,63,61.9,104,847,30:22,11
Redskins,24.8,396,1009,6454,6.4,345,90,199,45.2,28,61,45.9,110,909,30:05,0
Patriots,27.6,441,1056,6180,5.9,351,104,227,45.8,38,60,63.3,93,819,31:13,12
Cowboys,26.3,421,1010,6027,6,358,80,189,42.3,38,57,66.7,105,879,32:55,5
Raiders,26,416,1047,5969,5.7,333,83,218,38.1,32,56,57.1,147,1247,32:44,16
Steelers,24.9,399,1026,5962,5.8,336,83,202,41.1,29,49,59.2,112,1068,31:45,5
Packers,27,432,1029,5900,5.7,349,98,210,46.7,40,66,60.6,100,827,31:14,8
Cardinals,26.1,418,1086,5868,5.4,368,87,214,40.7,35,54,64.8,104,889,31:53,0
Colts,25.7,411,1037,5831,5.6,351,87,202,43.1,35,53,66,102,883,31:52,-5
Titans,23.8,381,1008,5728,5.7,322,100,217,46.1,36,50,72,110,1012,31:32,0
Seahawks,22.1,354,1012,5715,5.6,313,79,207,38.2,26,56,46.4,117,970,30:03,1
Bengals,20.3,325,1050,5711,5.4,341,82,210,39,29,54,53.7,88,726,30:20,3
Chargers,25.6,410,1014,5708,5.6,340,85,200,42.5,32,62,51.6,107,780,31:33,-7
Bears,17.4,279,967,5704,5.9,324,70,185,37.8,25,49,51,110,967,28:07,-20
Bills,24.9,399,1013,5665,5.6,328,86,210,41,35,54,64.8,112,960,30:48,6
Ravens,21.4,343,1079,5563,5.2,316,86,233,36.9,24,46,52.2,125,1111,31:46,5
Buccaneers,22.1,354,1066,5542,5.2,340,94,214,43.9,28,54,51.9,109,926,31:57,2
Panthers,23.1,369,1052,5499,5.2,318,83,223,37.2,29,49,59.2,98,850,31:50,-2
Chiefs,24.3,389,990,5489,5.5,305,81,213,38,25,55,45.5,109,848,31:36,16
Lions,21.6,346,981,5421,5.5,329,83,195,42.6,26,48,54.2,100,861,30:07,-1
Eagles,22.9,367,1080,5398,5,333,85,224,37.9,27,55,49.1,113,945,33:31,6
Jaguars,19.9,318,1052,5359,5.1,321,78,221,35.3,24,40,60,129,1178,29:09,-16
Dolphins,22.7,363,912,5324,5.8,278,69,188,36.7,26,47,55.3,125,1141,29:00,2
Giants,19.4,310,1018,5291,5.2,289,78,219,35.6,23,43,53.5,88,857,28:19,-2
Jets,17.2,275,1003,5268,5.3,291,76,210,36.2,19,54,35.2,93,837,31:41,-20
Broncos,20.8,333,1020,5169,5.1,290,75,219,34.2,22,47,46.8,119,985,29:03,2
Vikings,20.4,327,1006,5041,5,303,81,213,38,23,50,46,103,882,31:36,11
Texans,17.4,279,1071,5035,4.7,305,87,233,37.3,18,44,40.9,87,868,32:34,-7
Browns,16.5,264,983,4976,5.1,296,77,212,36.3,24,44,54.5,95,736,28:16,-12
49ers,19.3,309,997,4930,4.9,287,78,222,35.1,30,44,68.2,99,831,27:56,-5
Rams,14,224,960,4203,4.4,245,67,213,31.5,16,34,47.1,126,1091,29:21,-11
