TeamName,PointsPerGame,RushingYards,RushingYardsPerAttempt,OpponentTacklesForLoss,OpponentTacklesForLossPercentage,TimesSacked,TimesSackedPercentage,OpponentQuarterbackHits,OpponentQuarterbackHitsPercentage
Raiders,26,1922,4.4,59,13.6,19,3.1,40,6.5
Steelers,24.9,1760,4.3,48,11.7,21,3.4,59,9.6
Giants,19.4,1412,3.5,59,14.8,22,3.5,62,10
Redskins,24.8,1696,4.5,58,15.3,23,3.7,79,12.5
Patriots,27.6,1872,3.9,65,13.5,24,4.2,69,12
Saints,29.3,1742,4.3,59,14.6,27,3.9,67,9.6
Titans,23.8,2187,4.6,67,14.1,28,5.3,51,9.6
Bears,17.4,1735,4.6,59,15.5,28,4.8,75,12.8
Cowboys,26.3,2396,4.8,60,12,28,5.5,66,12.9
Dolphins,22.7,1824,4.5,79,19.5,30,5.9,92,18.1
Texans,17.4,1859,4.1,70,15.4,32,5.2,97,15.8
Chiefs,24.3,1749,4.2,80,19.4,32,5.5,73,12.6
Eagles,22.9,1813,4.1,83,18.9,33,5.1,88,13.7
Ravens,21.4,1463,4,81,22.1,33,4.6,82,11.5
Jaguars,19.9,1631,4.2,80,20.4,34,5.2,82,12.4
Packers,27,1701,4.5,68,18.2,35,5.3,72,11
Jets,17.2,1802,4.3,72,17.2,35,6,98,16.8
Panthers,23.1,1814,4,74,16.3,36,6,96,16
Chargers,25.6,1510,3.8,85,21.4,36,5.8,98,15.9
Buccaneers,22.1,1619,3.6,82,18.1,36,5.9,113,18.4
Falcons,33.8,1928,4.6,79,18.8,37,6.4,93,16.2
Lions,21.6,1310,3.7,88,25.1,37,5.9,79,12.5
Vikings,20.4,1205,3.2,85,22.4,38,6.1,98,15.7
Broncos,20.8,1484,3.6,77,18.8,40,6.6,102,16.7
Cardinals,26.1,1732,4.3,76,19,41,6,126,18.3
Bengals,20.3,1769,4,74,16.6,41,6.8,75,12.4
Seahawks,22.1,1591,3.9,86,21.3,42,6.9,107,17.6
Colts,25.7,1629,4,64,15.6,44,7,133,21.2
Bills,24.9,2629,5.3,99,20.1,46,8.8,87,16.7
49ers,19.3,2019,4.4,88,19.2,47,8.7,85,15.8
Rams,14,1252,3.3,105,28,49,8.4,99,16.9
Browns,16.5,1712,4.9,122,34.9,66,10.4,136,21.5
