TeamName,PointsPerGame,Score,RushingAttempts,RushingYards,RushingYardsPerAttempt,RushingTouchdowns,FirstDownsByRushing,TimeOfPossession
Bills,24.9,399,492,2629,5.3,29,146,30:48
Cowboys,26.3,421,499,2396,4.8,24,142,32:55
Titans,23.8,381,476,2187,4.6,16,115,31:32
49ers,19.3,309,458,2019,4.4,15,116,27:56
Falcons,33.8,540,421,1928,4.6,20,108,30:22
Raiders,26,416,433,1922,4.4,17,98,32:44
Patriots,27.6,441,482,1872,3.9,19,109,31:13
Texans,17.4,279,456,1859,4.1,8,102,32:34
Dolphins,22.7,363,405,1824,4.5,15,90,29:00
Panthers,23.1,369,453,1814,4,16,99,31:50
Eagles,22.9,367,438,1813,4.1,16,114,33:31
Jets,17.2,275,418,1802,4.3,11,97,31:41
Bengals,20.3,325,446,1769,4,17,100,30:20
Steelers,24.9,399,409,1760,4.3,13,97,31:45
Chiefs,24.3,389,412,1749,4.2,15,86,31:36
Saints,29.3,469,404,1742,4.3,17,105,31:57
Bears,17.4,279,380,1735,4.6,10,93,28:07
Cardinals,26.1,418,399,1732,4.3,20,97,31:53
Browns,16.5,264,350,1712,4.9,13,83,28:16
Packers,27,432,374,1701,4.5,11,91,31:14
Redskins,24.8,396,379,1696,4.5,17,89,30:05
Jaguars,19.9,318,392,1631,4.2,8,75,29:09
Colts,25.7,411,409,1629,4,13,93,31:52
Buccaneers,22.1,354,452,1619,3.6,8,80,31:57
Seahawks,22.1,354,403,1591,3.9,13,85,30:03
Chargers,25.6,410,398,1510,3.8,10,90,31:33
Broncos,20.8,333,410,1484,3.6,11,76,29:03
Ravens,21.4,343,367,1463,4,10,79,31:46
Giants,19.4,310,398,1412,3.5,6,73,28:19
Lions,21.6,346,350,1310,3.7,9,76,30:07
Rams,14,224,375,1252,3.3,9,68,29:21
Vikings,20.4,327,380,1205,3.2,9,66,31:36
