TeamName,OpponentPointsPerGame,OpponentScore,OpponentPassingCompletions,OpponentPassingYards,OpponentPassingYardsPerAttempt,OpponentPassingTouchdowns,OpponentFirstDownsByPassing
Jets,14.8,236,259,2459,4.9,8,128
Bills,20.4,326,295,2948,5.7,14,157
Broncos,20.2,324,298,2981,5.8,18,167
Panthers,19.2,308,305,3056,6.2,14,155
Packers,18.6,297,294,3218,6,29,168
Bengals,18.2,291,318,3249,5.9,18,165
Raiders,23.7,379,259,3303,7.5,16,158
Ravens,16.3,261,306,3316,6.3,17,164
Redskins,21,336,314,3316,6.5,19,176
Buccaneers,25,400,301,3318,6.9,28,171
Chargers,20,320,326,3348,6.3,23,177
Patriots,17.8,285,300,3355,6.6,25,193
Bears,23.4,375,341,3382,6.4,29,186
Colts,19.2,307,372,3403,5.8,19,203
Giants,26.7,427,314,3425,6.9,31,182
Steelers,20.2,324,319,3447,6.3,22,186
Eagles,21.1,337,354,3462,6,27,179
Texans,20.8,333,344,3487,6.4,19,175
Vikings,19.5,312,341,3494,6.5,26,183
Cowboys,15.6,250,344,3606,6.3,19,186
49ers,17.6,281,352,3670,6.3,14,176
Chiefs,26.5,424,302,3707,7.3,25,178
Cardinals,20.3,325,346,3739,6.3,22,188
Dolphins,24.4,390,281,3754,7.7,23,184
Rams,27.2,436,315,3764,7.7,22,182
Saints,21.3,341,330,3769,6.6,15,175
Jaguars,23.8,380,345,3774,7.4,28,191
Falcons,20.3,325,335,3871,7.2,25,197
Browns,23.4,375,313,3915,7.4,22,189
Seahawks,24.4,390,374,3927,6.9,27,204
Titans,25.1,402,404,4139,6.9,31,210
Lions,30.9,494,371,4249,7.8,35,213
