TeamName,OpponentPointsPerGame,OpponentRushingYards,OpponentRushingYardsPerAttempt,TacklesForLoss,TacklesForLossPercentage,OpponentTimesSacked,OpponentTimesSackedPercentage,QuarterbackHits,QuarterbackHitsPercentage
Vikings,19.5,1394,3.9,96,26.9,48,8.2,101,17.3
Steelers,20.2,1438,3.9,79,21.2,47,7.9,77,12.9
Eagles,21.1,1675,4.1,89,21.5,44,7.1,94,15.1
Dolphins,24.4,1835,4.2,67,15.4,44,8.3,81,15.2
49ers,17.6,1552,3.6,85,20,44,7.1,93,14.9
Cardinals,20.3,1804,4.5,89,22.1,43,6.8,81,12.7
Cowboys,15.6,1448,4,66,18.1,42,6.8,98,16
Browns,23.4,2314,4.6,61,12.1,40,7.1,97,17.1
Redskins,21,1799,4,82,18.3,40,7.3,80,14.5
Broncos,20.2,2059,4.5,81,17.7,39,7.1,76,13.8
Packers,18.6,1333,3.6,92,24.8,37,6.4,88,15.3
Raiders,23.7,2488,4.5,93,17,37,7.8,69,14.5
Bears,23.4,2022,4.3,70,15,35,6.2,83,14.7
Saints,21.3,1955,4.5,69,15.9,35,5.7,91,14.9
Chargers,20,1884,4.5,69,16.4,35,6.2,51,9
Bengals,18.2,1573,3.9,60,15,34,5.9,75,12.9
Colts,19.2,2024,4.3,56,12,34,5.5,78,12.6
Titans,25.1,1711,4.3,71,17.7,32,5,87,13.7
Ravens,16.3,1492,3.4,83,19.1,32,5.8,66,11.9
Bills,20.4,2501,4.7,85,15.9,32,5.8,71,12.9
Giants,26.7,1773,4.2,86,20.3,32,6,85,16
Jets,14.8,1578,3.8,79,18.8,32,6,72,13.5
Panthers,19.2,1997,4.4,66,14.7,31,5.9,70,13.3
Patriots,17.8,1768,4.4,60,15.1,31,5.7,77,14.2
Texans,20.8,1711,4.3,83,21,30,5.2,85,14.7
Falcons,20.3,1711,4,68,15.7,28,5,63,11.2
Seahawks,24.4,1776,4.1,68,15.9,28,4.7,88,14.8
Buccaneers,25,2531,4.8,67,12.7,28,5.5,80,15.7
Lions,30.9,2025,4.4,62,13.5,26,4.6,57,10
Rams,27.2,2201,4.4,71,14.2,25,4.8,72,14
Chiefs,26.5,2504,4.7,46,8.7,22,4.1,45,8.5
Jaguars,23.8,1863,4.1,53,11.6,14,2.7,47,9
