TeamName,PointsPerGame,Score,OffensivePlays,OffensiveYards,OffensiveYardsPerPlay,FirstDowns,ThirdDownConversions,ThirdDownAttempts,ThirdDownPercentage,RedZoneConversions,RedZoneAttempts,RedZonePercentage,Penalties,PenaltyYards,TimeOfPossession,TurnoverDifferential
Patriots,34.8,557,1191,6846,5.7,444,110,226,48.7,49,70,70,97,840,31:56,25
Saints,28.8,461,1067,6574,6.2,352,91,207,44,39,57,68.4,104,911,29:59,2
Lions,23.2,372,1160,6540,5.6,382,97,228,42.5,33,55,60,103,944,32:05,-16
Broncos,30.1,481,1090,6366,5.8,380,96,213,45.1,39,66,59.1,100,805,31:16,-1
Redskins,27.2,436,994,6131,6.2,341,68,190,35.8,32,53,60.4,116,985,31:12,17
Cowboys,23.5,376,1049,5994,5.7,338,93,212,43.9,25,49,51,117,853,31:01,-13
Texans,26,416,1090,5953,5.5,341,83,221,37.6,32,57,56.1,108,873,34:46,12
Falcons,26.2,419,1021,5906,5.8,342,92,204,45.1,37,63,58.7,55,415,31:52,13
Buccaneers,24.3,389,1008,5820,5.8,301,76,212,35.8,28,47,59.6,101,819,30:19,3
Colts,22.3,357,1109,5799,5.2,360,98,229,42.8,26,48,54.2,94,801,31:46,-12
49ers,24.8,397,969,5789,6,322,68,194,35.1,28,55,50.9,109,960,32:46,9
Panthers,22.3,357,988,5771,5.8,328,88,204,43.1,27,46,58.7,98,835,30:51,1
Packers,27.1,433,1042,5751,5.5,341,90,213,42.3,32,47,68.1,103,923,30:26,7
Giants,26.8,429,968,5687,5.9,327,78,192,40.6,34,62,54.8,72,578,29:10,14
Eagles,17.5,280,1079,5665,5.3,332,83,222,37.4,22,50,44,98,813,30:44,-24
Ravens,24.9,398,1042,5640,5.4,314,80,217,36.9,28,49,57.1,121,1127,29:40,9
Seahawks,25.8,412,974,5610,5.8,311,80,199,40.2,31,54,57.4,110,890,32:50,13
Raiders,18.1,290,1032,5504,5.3,300,77,220,35,18,42,42.9,108,939,30:30,-7
Bills,21.5,344,983,5486,5.6,301,77,198,38.9,24,48,50,104,871,30:11,-13
Vikings,23.7,379,1001,5385,5.4,306,78,210,37.1,28,52,53.8,90,830,29:44,-1
Steelers,21,336,1023,5324,5.2,307,94,224,42,27,49,55.1,92,938,32:11,-10
Bengals,24.4,391,1016,5323,5.2,292,74,217,34.1,31,57,54.4,99,857,30:26,4
Rams,18.7,299,1002,5264,5.3,287,67,209,32.1,19,37,51.4,130,978,30:47,-1
Chiefs,13.2,211,1015,5108,5,286,70,212,33,10,37,27,92,733,30:20,-24
Browns,18.9,302,998,5028,5,279,67,218,30.7,17,39,43.6,113,1005,28:14,3
Titans,20.6,330,957,5010,5.2,260,83,217,38.2,18,36,50,106,847,28:41,-4
Dolphins,18,288,981,4984,5.1,288,78,207,37.7,21,38,55.3,82,724,29:00,-10
Bears,23.4,375,999,4969,5,292,80,219,36.5,23,46,50,102,811,32:48,20
Jaguars,15.9,255,994,4788,4.8,269,64,216,29.6,16,36,44.4,101,955,28:03,-3
Jets,17.6,281,1034,4787,4.6,299,80,217,36.9,23,47,48.9,83,708,30:26,-14
Chargers,21.9,350,988,4756,4.8,293,82,217,37.8,22,47,46.8,103,796,32:37,2
Cardinals,15.6,250,1018,4209,4.1,246,58,230,25.2,16,40,40,102,857,29:19,-1
