TeamName,PointsPerGame,Score,PassingCompletions,PassingAttempts,CompletionPercentage,PassingYards,PassingYardsPerAttempt,PassingYardsPerCompletion,PassingTouchdowns,PassingInterceptions,FirstDownsByPassing,TimesSacked,TimesSackedYards,PasserRating
Saints,28.8,461,423,671,63,4997,7.4,11.8,43,19,267,26,undefined,95
Lions,23.2,372,445,740,60.1,4927,6.7,11.1,22,17,272,29,undefined,80
Cowboys,23.5,376,434,658,66,4729,7.2,10.9,29,19,237,36,undefined,90
Patriots,34.8,557,402,641,62.7,4662,7.3,11.6,34,9,256,27,undefined,96
Broncos,30.1,481,402,588,68.4,4534,7.7,11.3,37,11,232,21,undefined,104
Falcons,26.2,419,422,615,68.6,4509,7.3,10.7,32,14,246,28,undefined,98
Colts,22.3,357,339,628,54,4128,6.6,12.2,23,18,208,41,undefined,75
Raiders,18.1,290,376,629,59.8,4084,6.5,10.9,24,16,200,27,undefined,81
Packers,27.1,433,374,558,67,4049,7.3,10.8,40,8,213,51,undefined,106
Buccaneers,24.3,389,311,566,54.9,3983,7,12.8,27,17,188,26,undefined,81
Texans,26,416,354,554,63.9,3830,6.9,10.8,22,13,205,28,undefined,88
Giants,26.8,429,323,539,59.9,3825,7.1,11.8,26,15,187,20,undefined,86
Eagles,17.5,280,367,618,59.4,3791,6.1,10.3,18,15,190,48,undefined,77
Steelers,21,336,354,574,61.7,3787,6.6,10.7,27,14,202,37,undefined,86
Ravens,24.9,398,334,560,59.6,3739,6.7,11.2,22,11,182,38,undefined,85
Panthers,22.3,357,284,490,58,3683,7.5,13,19,12,171,36,undefined,84
Bengals,24.4,391,335,540,62,3578,6.6,10.7,28,16,173,46,undefined,86
Rams,18.7,299,332,557,59.6,3550,6.4,10.7,22,14,189,35,undefined,81
Browns,18.9,302,328,566,58,3435,6.1,10.5,16,18,185,36,undefined,72
Redskins,27.2,436,291,442,65.8,3422,7.7,11.8,24,8,171,33,undefined,100
Jaguars,15.9,255,328,586,56,3419,5.8,10.4,20,17,157,50,undefined,72
Titans,20.6,330,318,540,58.9,3323,6.2,10.4,17,16,166,39,undefined,75
49ers,24.8,397,289,436,66.3,3298,7.6,11.4,23,8,172,41,undefined,99
Chargers,21.9,350,338,528,64,3295,6.2,9.7,26,15,184,49,undefined,86
Bills,21.5,344,309,511,60.5,3269,6.4,10.6,24,17,176,30,undefined,81
Dolphins,18,288,293,504,58.1,3182,6.3,10.9,13,13,158,37,undefined,75
Seahawks,25.8,412,259,405,64,3031,7.5,11.7,27,10,153,33,undefined,98
Cardinals,15.6,250,337,608,55.4,3005,4.9,8.9,11,21,168,58,undefined,61
Bears,23.4,375,287,485,59.2,2999,6.2,10.4,21,16,163,44,undefined,78
Jets,17.6,281,272,493,55.2,2891,5.9,10.6,14,19,162,47,undefined,66
Vikings,23.7,379,300,483,62.1,2751,5.7,9.2,18,12,163,32,undefined,80
Chiefs,13.2,211,273,475,57.5,2713,5.7,9.9,8,20,144,40,undefined,62
