TeamName,PointsPerGame,RushingYards,RushingYardsPerAttempt,OpponentTacklesForLoss,OpponentTacklesForLossPercentage,TimesSacked,TimesSackedPercentage,OpponentQuarterbackHits,OpponentQuarterbackHitsPercentage
Giants,26.8,1862,4.6,51,12.5,20,3.6,55,9.8
Broncos,30.1,1832,3.8,64,13.3,21,3.4,45,7.4
Saints,28.8,1577,4.3,53,14.3,26,3.7,58,8.3
Buccaneers,24.3,1837,4.4,59,14.2,26,4.4,60,10.1
Patriots,34.8,2184,4.2,72,13.8,27,4,71,10.6
Raiders,18.1,1420,3.8,79,21,27,4.1,60,9.1
Falcons,26.2,1397,3.7,69,18.3,28,4.4,84,13.1
Texans,26,2123,4.2,85,16.7,28,4.8,72,12.4
Lions,23.2,1613,4.1,62,15.9,29,3.8,78,10.1
Bills,21.5,2217,5,66,14.9,30,5.5,70,12.9
Vikings,23.7,2634,5.4,83,17.1,32,6.2,64,12.4
Seahawks,25.8,2579,4.8,67,12.5,33,7.5,65,14.8
Redskins,27.2,2709,5.2,68,13.1,33,6.9,82,17.3
Rams,18.7,1714,4.2,77,18.8,35,5.9,80,13.5
Panthers,22.3,2088,4.5,84,18.2,36,6.8,65,12.4
Browns,18.9,1593,4,68,17.2,36,6,83,13.8
Cowboys,23.5,1265,3.6,71,20,36,5.2,78,11.2
Steelers,21,1537,3.7,77,18.7,37,6.1,67,11
Dolphins,18,1802,4.1,73,16.6,37,6.8,64,11.8
Ravens,24.9,1901,4.3,72,16.2,38,6.4,65,10.9
Titans,20.6,1687,4.5,80,21.2,39,6.7,62,10.7
Chiefs,13.2,2395,4.8,84,16.8,40,7.8,84,16.3
Colts,22.3,1671,3.8,83,18.9,41,6.1,108,16.1
49ers,24.8,2491,5.1,70,14.2,41,8.6,70,14.7
Bears,23.4,1970,4.2,76,16.2,44,8.3,82,15.5
Bengals,24.4,1745,4.1,56,13,46,7.8,67,11.4
Jets,17.6,1896,3.8,66,13.4,47,8.7,73,13.5
Eagles,17.5,1874,4.5,110,26.6,48,7.2,112,16.8
Chargers,21.9,1461,3.6,80,19.5,49,8.5,61,10.6
Jaguars,15.9,1369,3.8,71,19.8,50,7.9,106,16.7
Packers,27.1,1702,3.9,72,16.6,51,8.4,84,13.8
Cardinals,15.6,1204,3.4,94,26.7,58,8.7,97,14.6
