TeamName,PointsPerGame,Score,PassingCompletions,PassingYards,PassingYardsPerAttempt,PassingTouchdowns,FirstDownsByPassing
Saints,28.8,461,423,4997,7.4,43,267
Lions,23.2,372,445,4927,6.7,22,272
Cowboys,23.5,376,434,4729,7.2,29,237
Patriots,34.8,557,402,4662,7.3,34,256
Broncos,30.1,481,402,4534,7.7,37,232
Falcons,26.2,419,422,4509,7.3,32,246
Colts,22.3,357,339,4128,6.6,23,208
Raiders,18.1,290,376,4084,6.5,24,200
Packers,27.1,433,374,4049,7.3,40,213
Buccaneers,24.3,389,311,3983,7,27,188
Texans,26,416,354,3830,6.9,22,205
Giants,26.8,429,323,3825,7.1,26,187
Eagles,17.5,280,367,3791,6.1,18,190
Steelers,21,336,354,3787,6.6,27,202
Ravens,24.9,398,334,3739,6.7,22,182
Panthers,22.3,357,284,3683,7.5,19,171
Bengals,24.4,391,335,3578,6.6,28,173
Rams,18.7,299,332,3550,6.4,22,189
Browns,18.9,302,328,3435,6.1,16,185
Redskins,27.2,436,291,3422,7.7,24,171
Jaguars,15.9,255,328,3419,5.8,20,157
Titans,20.6,330,318,3323,6.2,17,166
49ers,24.8,397,289,3298,7.6,23,172
Chargers,21.9,350,338,3295,6.2,26,184
Bills,21.5,344,309,3269,6.4,24,176
Dolphins,18,288,293,3182,6.3,13,158
Seahawks,25.8,412,259,3031,7.5,27,153
Cardinals,15.6,250,337,3005,4.9,11,168
Bears,23.4,375,287,2999,6.2,21,163
Jets,17.6,281,272,2891,5.9,14,162
Vikings,23.7,379,300,2751,5.7,18,163
Chiefs,13.2,211,273,2713,5.7,8,144
