TeamName,PointsPerGame,Score,PassingCompletions,PassingAttempts,CompletionPercentage,PassingYards,PassingYardsPerAttempt,PassingYardsPerCompletion,PassingTouchdowns,PassingInterceptions,FirstDownsByPassing,TimesSacked,TimesSackedYards,PasserRating
Colts,27.2,435,450,680,66.2,4609,6.8,10.2,33,17,253,16,undefined,91
Chargers,27.6,441,359,544,66,4519,8.3,12.6,30,13,236,38,undefined,100
Saints,24,384,450,661,68.1,4441,6.7,9.9,33,22,236,26,undefined,90
Texans,24.4,390,365,574,63.6,4143,7.2,11.4,24,12,222,32,undefined,90
Packers,24.2,388,352,541,65.1,4124,7.6,11.7,31,13,204,38,undefined,97
Cowboys,24.6,394,379,576,65.8,4039,7,10.7,29,19,201,32,undefined,89
Broncos,21.5,344,334,580,57.6,4037,7,12.1,25,12,204,40,undefined,85
Redskins,18.9,302,349,605,57.7,3913,6.5,11.2,21,19,194,46,undefined,76
Eagles,27.4,439,348,561,62,3903,7,11.2,28,13,189,50,undefined,90
Giants,24.6,394,339,539,62.9,3885,7.2,11.5,31,25,192,16,undefined,84
Patriots,32.4,518,331,507,65.3,3847,7.6,11.6,37,5,196,25,undefined,108
Lions,22.6,362,383,633,60.5,3810,6,9.9,26,16,199,27,undefined,81
Bengals,20.1,322,365,590,61.9,3767,6.4,10.3,26,20,206,28,undefined,81
Steelers,23.4,375,298,479,62.2,3600,7.5,12.1,22,9,175,43,undefined,93
Falcons,25.9,414,361,577,62.6,3567,6.2,9.9,28,9,200,23,undefined,90
Dolphins,17.1,273,335,557,60.1,3527,6.3,10.5,17,20,189,38,undefined,74
Buccaneers,21.3,341,306,494,61.9,3361,6.8,11,26,6,172,30,undefined,95
49ers,19.1,305,282,500,56.4,3356,6.7,11.9,19,15,149,44,undefined,77
Seahawks,19.4,310,324,544,59.6,3339,6.1,10.3,14,20,159,35,undefined,71
Ravens,22.3,357,308,491,62.7,3335,6.8,10.8,25,10,175,40,undefined,91
Rams,18.1,289,354,590,60,3268,5.5,9.2,18,15,179,34,undefined,75
Jets,22.9,367,288,525,54.9,3242,6.2,11.3,20,14,171,28,undefined,75
Raiders,25.6,410,279,491,56.8,3180,6.5,11.4,18,16,159,44,undefined,75
Bills,17.7,283,296,519,57,3158,6.1,10.7,24,21,166,33,undefined,74
Titans,22.2,356,273,474,57.6,3107,6.6,11.4,24,15,155,27,undefined,81
Vikings,17.6,281,305,505,60.4,3097,6.1,10.2,14,26,159,35,undefined,66
Jaguars,22.1,353,291,469,62,3065,6.5,10.5,26,21,161,38,undefined,81
Bears,20.9,334,276,466,59.2,3015,6.5,10.9,23,21,163,55,undefined,76
Browns,16.9,271,296,478,61.9,2989,6.3,10.1,13,18,154,36,undefined,73
Chiefs,22.9,366,274,475,57.7,2968,6.2,10.8,27,8,167,32,undefined,88
Cardinals,18.1,289,285,561,50.8,2921,5.2,10.2,10,19,154,50,undefined,58
Panthers,12.2,196,256,484,52.9,2289,4.7,8.9,9,21,125,50,undefined,54
