TeamName,PointsPerGame,Score,PassingCompletions,PassingYards,PassingYardsPerAttempt,PassingTouchdowns,FirstDownsByPassing
Colts,27.2,435,450,4609,6.8,33,253
Chargers,27.6,441,359,4519,8.3,30,236
Saints,24,384,450,4441,6.7,33,236
Texans,24.4,390,365,4143,7.2,24,222
Packers,24.2,388,352,4124,7.6,31,204
Cowboys,24.6,394,379,4039,7,29,201
Broncos,21.5,344,334,4037,7,25,204
Redskins,18.9,302,349,3913,6.5,21,194
Eagles,27.4,439,348,3903,7,28,189
Giants,24.6,394,339,3885,7.2,31,192
Patriots,32.4,518,331,3847,7.6,37,196
Lions,22.6,362,383,3810,6,26,199
Bengals,20.1,322,365,3767,6.4,26,206
Steelers,23.4,375,298,3600,7.5,22,175
Falcons,25.9,414,361,3567,6.2,28,200
Dolphins,17.1,273,335,3527,6.3,17,189
Buccaneers,21.3,341,306,3361,6.8,26,172
49ers,19.1,305,282,3356,6.7,19,149
Seahawks,19.4,310,324,3339,6.1,14,159
Ravens,22.3,357,308,3335,6.8,25,175
Rams,18.1,289,354,3268,5.5,18,179
Jets,22.9,367,288,3242,6.2,20,171
Raiders,25.6,410,279,3180,6.5,18,159
Bills,17.7,283,296,3158,6.1,24,166
Titans,22.2,356,273,3107,6.6,24,155
Vikings,17.6,281,305,3097,6.1,14,159
Jaguars,22.1,353,291,3065,6.5,26,161
Bears,20.9,334,276,3015,6.5,23,163
Browns,16.9,271,296,2989,6.3,13,154
Chiefs,22.9,366,274,2968,6.2,27,167
Cardinals,18.1,289,285,2921,5.2,10,154
Panthers,12.2,196,256,2289,4.7,9,125
