TeamName,PointsPerGame,RushingYards,RushingYardsPerAttempt,OpponentTacklesForLoss,OpponentTacklesForLossPercentage,TimesSacked,TimesSackedPercentage,OpponentQuarterbackHits,OpponentQuarterbackHitsPercentage
Colts,27.2,1483,3.8,55,14,16,2.3,47,6.8
Giants,24.6,2200,4.6,63,13.1,16,2.9,49,8.8
Falcons,25.9,1891,3.8,60,12.1,23,3.8,61,10.2
Patriots,32.4,1973,4.3,52,11.5,25,4.7,49,9.2
Saints,24,1519,4,63,16.6,26,3.8,63,9.2
Lions,22.6,1613,4,78,19.3,27,4.1,62,9.4
Titans,22.2,1727,4.3,72,17.7,27,5.4,42,8.4
Bengals,20.1,1522,3.6,61,14.3,28,4.5,72,11.7
Jets,22.9,2374,4.4,58,10.9,28,5.1,48,8.7
Buccaneers,21.3,2001,4.6,63,14.6,30,5.7,69,13.2
Texans,24.4,2042,4.8,73,17.3,32,5.3,73,12
Cowboys,24.6,1789,4.2,65,15.2,32,5.3,76,12.5
Chiefs,22.9,2627,4.7,72,12.9,32,6.3,77,15.2
Bills,17.7,1722,4.3,71,17.7,33,6,90,16.3
Rams,18.1,1578,3.7,82,19.1,34,5.4,73,11.7
Vikings,17.6,1942,4.4,81,18.3,35,6.5,87,16.1
Seahawks,19.4,1424,3.7,82,21.3,35,6,60,10.4
Browns,16.9,1646,4,59,14.3,36,7,58,11.3
Packers,24.2,1606,3.8,67,15.9,38,6.6,72,12.4
Jaguars,22.1,2395,4.7,67,13.1,38,7.5,114,22.5
Dolphins,17.1,1643,3.7,71,16,38,6.4,69,11.6
Chargers,27.6,1810,4,70,15.3,38,6.5,72,12.4
Ravens,22.3,1831,3.8,81,16.6,40,7.5,76,14.3
Broncos,21.5,1544,3.9,84,21.1,40,6.5,65,10.5
Steelers,23.4,1925,4.1,85,18,43,8.2,79,15.1
Raiders,25.6,2494,4.9,70,13.9,44,8.2,67,12.5
49ers,19.1,1657,4.1,77,19.2,44,8.1,91,16.7
Redskins,18.9,1461,4.2,93,26.5,46,7.1,99,15.2
Cardinals,18.1,1388,4.3,77,24.1,50,8.2,89,14.6
Panthers,12.2,1846,4.3,94,22,50,9.4,93,17.4
Eagles,27.4,2327,5.4,77,18,50,8.2,92,15.1
Bears,20.9,1616,3.9,97,23.4,55,10.6,88,16.9
