TeamName,PointsPerGame,Score,RushingAttempts,RushingYards,RushingYardsPerAttempt,RushingTouchdowns,FirstDownsByRushing,TimeOfPossession
Chiefs,22.9,366,556,2627,4.7,13,129,32:39
Raiders,25.6,410,504,2494,4.9,19,113,32:58
Jaguars,22.1,353,512,2395,4.7,14,148,32:48
Jets,22.9,367,534,2374,4.4,14,118,33:37
Eagles,27.4,439,427,2327,5.4,18,116,31:15
Giants,24.6,394,480,2200,4.6,17,112,33:32
Texans,24.4,390,423,2042,4.8,20,118,30:33
Buccaneers,21.3,341,431,2001,4.6,9,97,31:49
Patriots,32.4,518,454,1973,4.3,19,119,29:24
Vikings,17.6,281,442,1942,4.4,16,104,30:25
Steelers,23.4,375,471,1925,4.1,15,106,32:24
Falcons,25.9,414,497,1891,3.8,14,111,33:47
Panthers,12.2,196,428,1846,4.3,7,78,27:24
Ravens,22.3,357,487,1831,3.8,11,97,31:20
Chargers,27.6,441,457,1810,4,18,94,33:03
Cowboys,24.6,394,427,1789,4.2,10,104,31:25
Titans,22.2,356,406,1727,4.3,13,73,26:02
Bills,17.7,283,402,1722,4.3,6,82,29:36
49ers,19.1,305,401,1657,4.1,10,85,29:47
Browns,16.9,271,413,1646,4,13,87,28:21
Dolphins,17.1,273,445,1643,3.7,8,91,31:54
Bears,20.9,334,415,1616,3.9,10,76,30:31
Lions,22.6,362,404,1613,4,11,83,30:48
Packers,24.2,388,421,1606,3.8,11,88,32:01
Rams,18.1,289,429,1578,3.7,9,84,31:01
Broncos,21.5,344,398,1544,3.9,13,81,28:09
Bengals,20.1,322,428,1522,3.6,8,85,31:14
Saints,24,384,380,1519,4,9,94,32:05
Colts,27.2,435,393,1483,3.8,13,87,30:55
Redskins,18.9,302,351,1461,4.2,9,72,29:50
Seahawks,19.4,310,385,1424,3.7,13,81,28:33
Cardinals,18.1,289,320,1388,4.3,11,67,26:23
