TeamName,OpponentPointsPerGame,OpponentScore,OpponentOffensivePlays,OpponentOffensiveYards,OpponentOffensiveYardsPerPlay,OpponentFirstDowns,OpponentThirdDownConversions,OpponentThirdDownAttempts,OpponentThirdDownPercentage,OpponentRedZoneConversions,OpponentRedZoneAttempts,OpponentRedZonePercentage,OpponentPenalties,OpponentPenaltyYards,OpponentTimeOfPossession,OpponentTurnoverDifferential
Vikings,15.8,252,956,4415,4.6,260,51,202,25.2,16,40,40,105,928,28:34,-5
Jaguars,16.8,268,993,4578,4.6,257,74,220,33.6,11,28,39.3,112,1050,29:42,-10
Broncos,23.9,382,952,4640,4.9,266,66,209,31.6,24,41,58.5,89,821,29:32,17
Eagles,18.4,295,976,4904,5,272,66,205,32.2,21,38,55.3,101,917,27:19,-11
Steelers,19.2,308,940,4910,5.2,270,72,199,36.2,24,39,61.5,110,1041,28:07,-2
Cardinals,22.6,361,1007,4975,4.9,283,80,224,35.7,27,46,58.7,129,1128,30:33,4
Panthers,20.4,327,953,5074,5.3,282,78,206,37.9,21,44,47.7,101,867,28:43,1
Cowboys,20.8,332,1000,5089,5.1,312,90,210,42.9,28,49,57.1,107,880,30:48,1
Falcons,19.7,315,994,5094,5.1,323,75,196,38.3,22,48,45.8,103,880,30:10,2
Bears,20,320,1003,5106,5.1,298,86,219,39.3,24,49,49,118,910,32:38,0
Seahawks,20.8,332,1045,5171,4.9,316,85,222,38.3,20,42,47.6,102,878,31:41,-8
Ravens,18.9,303,1045,5201,5,296,82,222,36.9,22,45,48.9,96,807,30:37,-17
Titans,22.2,356,1046,5248,5,323,78,214,36.4,27,56,48.2,119,942,30:24,4
Browns,25.6,410,1026,5250,5.1,315,91,224,40.6,31,46,67.4,101,905,33:37,28
Chargers,17,272,997,5254,5.3,282,86,221,38.9,13,36,36.1,109,995,30:04,-12
Dolphins,24.6,393,989,5371,5.4,319,75,203,36.9,32,51,62.7,122,1077,31:35,14
Saints,20.4,326,1002,5384,5.4,308,87,212,41,25,48,52.1,108,850,29:00,-7
Bengals,21.8,349,1091,5425,5,325,98,241,40.7,26,56,46.4,106,906,33:55,9
Rams,20.6,329,1020,5434,5.3,300,86,227,37.9,27,46,58.7,102,808,30:54,-7
Texans,27.2,436,973,5546,5.7,301,71,201,35.3,33,54,61.1,122,1128,30:54,12
Redskins,24.2,388,1045,5566,5.3,307,83,226,36.7,29,57,50.9,100,887,30:25,4
Packers,24,384,1014,5582,5.5,331,89,208,42.8,30,46,65.2,94,832,32:38,3
Raiders,23.3,373,994,5601,5.6,304,88,215,40.9,23,48,47.9,102,944,31:07,14
49ers,23.9,383,1065,5625,5.3,343,95,221,43,34,57,59.6,97,791,32:51,3
Jets,23.9,382,1052,5636,5.4,329,82,221,37.1,29,52,55.8,114,981,30:23,4
Bills,22.4,359,1066,5682,5.3,348,82,214,38.3,30,57,52.6,97,873,32:11,-9
Lions,23.5,376,1037,5692,5.5,350,74,194,38.1,34,55,61.8,110,971,30:12,-10
Chiefs,21.2,339,1044,5842,5.6,352,83,207,40.1,28,51,54.9,107,864,30:35,-15
Patriots,18.5,296,1022,5856,5.7,325,82,208,39.4,21,48,43.8,111,1035,29:23,-6
Colts,25.2,404,1026,5873,5.7,324,97,217,44.7,27,51,52.9,102,822,31:29,-5
Giants,24.2,388,1052,5971,5.7,313,88,222,39.6,29,53,54.7,115,923,32:49,3
Buccaneers,23.9,382,1011,6049,6,327,104,216,48.1,29,53,54.7,109,937,31:32,1
