TeamName,OpponentPointsPerGame,OpponentScore,OpponentPassingCompletions,OpponentPassingYards,OpponentPassingYardsPerAttempt,OpponentPassingTouchdowns,OpponentFirstDownsByPassing
Jaguars,16.8,268,289,2718,5.3,17,143
Vikings,15.8,252,324,3078,5.5,13,168
Chargers,17,272,329,3156,6,17,153
Broncos,23.9,382,294,3210,6.5,29,166
Steelers,19.2,308,297,3217,6.4,20,157
Seahawks,20.8,332,325,3347,6,19,181
Bears,20,320,343,3376,6.4,18,180
Bengals,21.8,349,336,3379,6,20,173
Redskins,24.2,388,306,3420,6.4,23,171
Ravens,18.9,303,333,3421,6,18,179
Cowboys,20.8,332,371,3425,6.1,28,181
Falcons,19.7,315,362,3429,6.2,22,197
Rams,20.6,329,324,3475,6.3,21,181
Cardinals,22.6,361,343,3541,6.3,24,187
Saints,20.4,326,329,3597,6.5,22,172
Dolphins,24.6,393,339,3603,6.8,26,190
Eagles,18.4,295,363,3637,6.1,24,177
Panthers,20.4,327,351,3665,6.7,25,187
Browns,25.6,410,360,3684,7,28,189
Bills,22.4,359,370,3688,6.4,14,199
Jets,23.9,382,329,3749,6.7,30,191
49ers,23.9,383,344,3764,6.9,27,198
Packers,24,384,348,3789,7.4,30,211
Texans,27.2,436,321,3799,7.6,30,176
Titans,22.2,356,369,3828,6.3,27,231
Raiders,23.3,373,361,3858,7.3,24,187
Lions,23.5,376,366,3892,6.8,21,205
Colts,25.2,404,320,3944,7.7,23,192
Chiefs,21.2,339,325,3952,6.9,23,204
Patriots,18.5,296,367,4020,6.8,24,204
Giants,24.2,388,347,4038,7.2,32,189
Buccaneers,23.9,382,371,4169,7.6,22,202
