TeamName,OpponentPointsPerGame,OpponentRushingYards,OpponentRushingYardsPerAttempt,TacklesForLoss,TacklesForLossPercentage,OpponentTimesSacked,OpponentTimesSackedPercentage,QuarterbackHits,QuarterbackHitsPercentage
Steelers,19.2,1693,4.4,105,27.3,56,10.1,106,19.1
Jaguars,16.8,1860,4.3,105,24.5,55,9.8,113,20
Panthers,20.4,1409,4,91,25.8,50,8.3,102,17
Rams,20.6,1959,4.7,82,19.7,48,8,100,16.6
Titans,22.2,1420,3.6,80,20.1,43,6.6,91,14
Chargers,17,2098,4.9,95,22.1,43,7.6,84,14.8
Patriots,18.5,1836,4.7,73,18.7,42,6.6,93,14.7
Bears,20,1730,4,78,18.1,42,7.4,97,17
Saints,20.4,1787,4.4,88,21.7,42,7,83,13.9
Redskins,24.2,2146,4.5,78,16.5,42,7.3,107,18.7
Bengals,21.8,2046,4.2,99,20.2,41,6.8,98,16.3
Ravens,18.9,1780,4.1,96,22.1,41,6.7,98,16.1
Falcons,19.7,1665,4.1,85,21.1,39,6.6,81,13.7
Seahawks,20.8,1824,4,92,20.4,39,6.6,112,18.9
Eagles,18.4,1267,3.8,99,29.4,38,5.9,115,18
Cowboys,20.8,1664,4.1,100,24.8,38,6.4,98,16.4
Cardinals,22.6,1434,3.5,94,23.2,37,6.2,100,16.6
Packers,24,1793,3.9,101,21.8,37,6.7,83,15.1
Vikings,15.8,1337,3.7,82,22.5,37,6.2,85,14.4
Lions,23.5,1800,4.2,84,19.4,35,5.8,95,15.7
Browns,25.6,1566,3.4,108,23.1,34,6.1,74,13.2
Broncos,23.9,1430,3.3,81,18.9,33,6.3,78,14.9
Texans,27.2,1747,4,95,21.6,32,6,74,13.9
Chiefs,21.2,1890,4.3,87,19.6,31,5.2,70,11.6
Raiders,23.3,1743,4,87,20.1,31,5.5,76,13.5
Dolphins,24.6,1768,4.1,78,18.1,30,5.4,90,16.1
49ers,23.9,1861,3.8,90,18.3,30,5.2,102,17.8
Jets,23.9,1887,4,81,17.4,28,4.8,94,16
Bills,22.4,1994,4.3,79,17,27,4.5,69,11.5
Giants,24.2,1933,4.2,79,17,27,4.6,67,11.4
Colts,25.2,1929,4,79,16.2,26,4.8,75,13.9
Buccaneers,23.9,1880,4.3,71,16.1,22,3.9,74,13
