TeamName,OpponentPointsPerGame,OpponentScore,OpponentRushingAttempts,OpponentRushingYards,OpponentRushingYardsPerAttempt,OpponentRushingTouchdowns,OpponentFirstDownsByRushing,OpponentTimeOfPossession
Eagles,18.4,295,337,1267,3.8,7,62,27:19
Vikings,15.8,252,364,1337,3.7,10,59,28:34
Panthers,20.4,327,353,1409,4,7,69,28:43
Titans,22.2,356,398,1420,3.6,5,68,30:24
Broncos,23.9,382,428,1430,3.3,9,68,29:32
Cardinals,22.6,361,406,1434,3.5,12,68,30:33
Browns,25.6,410,467,1566,3.4,14,95,33:37
Cowboys,20.8,332,403,1664,4.1,7,96,30:48
Falcons,19.7,315,402,1665,4.1,9,97,30:10
Steelers,19.2,308,385,1693,4.4,14,89,28:07
Bears,20,320,432,1730,4,11,85,32:38
Raiders,23.3,373,433,1743,4,12,93,31:07
Texans,27.2,436,440,1747,4,14,88,30:54
Dolphins,24.6,393,431,1768,4.1,14,88,31:35
Ravens,18.9,303,435,1780,4.1,12,87,30:37
Saints,20.4,326,406,1787,4.4,11,92,29:00
Packers,24,384,464,1793,3.9,10,95,32:38
Lions,23.5,376,432,1800,4.2,18,110,30:12
Seahawks,20.8,332,452,1824,4,14,90,31:41
Patriots,18.5,296,390,1836,4.7,6,98,29:23
Jaguars,16.8,268,429,1860,4.3,9,91,29:42
49ers,23.9,383,491,1861,3.8,13,108,32:51
Buccaneers,23.9,382,440,1880,4.3,18,102,31:32
Jets,23.9,382,466,1887,4,13,88,30:23
Chiefs,21.2,339,443,1890,4.3,15,112,30:35
Colts,25.2,404,487,1929,4,15,99,31:29
Giants,24.2,388,464,1933,4.2,10,101,32:49
Rams,20.6,329,417,1959,4.7,15,86,30:54
Bills,22.4,359,466,1994,4.3,22,121,32:11
Bengals,21.8,349,489,2046,4.2,13,111,33:55
Chargers,17,272,430,2098,4.9,11,99,30:04
Redskins,24.2,388,472,2146,4.5,13,105,30:25
