TeamName,OpponentPointsPerGame,OpponentRushingYards,OpponentRushingYardsPerAttempt,TacklesForLoss,TacklesForLossPercentage,OpponentTimesSacked,OpponentTimesSackedPercentage,QuarterbackHits,QuarterbackHitsPercentage
Cardinals,22.6,1518,3.6,110,25.9,48,8.1,103,17.3
Panthers,25.1,1464,3.9,90,24,48,7.3,92,13.9
Broncos,18.6,2085,4.3,55,11.4,42,7.1,110,18.5
Seahawks,18.2,1487,3.4,84,19,42,7.3,94,16.2
Vikings,19.2,1711,4.2,70,17.3,41,7,115,19.5
Packers,24.2,1515,4,80,21.3,40,6.5,83,13.6
Titans,23.6,1414,4,70,19.7,40,5.9,93,13.8
Bills,23.6,2130,4.6,78,16.7,39,7.1,78,14.2
Steelers,20.4,1600,4.3,86,23.3,38,6.1,90,14.3
Buccaneers,23.1,1875,4.4,78,18.3,38,6.5,80,13.7
Redskins,23.9,1916,4.5,78,18.4,38,6.1,85,13.6
Bears,24.9,1950,4.4,68,15.3,37,6.5,71,12.5
Cowboys,19.1,1336,3.9,87,25.6,36,5.4,89,13.3
Falcons,25.4,1675,4.5,70,19,35,5.1,78,11.3
Giants,17.8,1417,3.6,85,21.4,35,5.3,86,12.9
Chargers,26.4,1567,3.8,99,24.1,35,5.7,87,14.1
Patriots,15.6,1417,3.9,58,15.8,34,5.4,71,11.3
Eagles,20.7,1652,4.2,79,20.2,34,5.8,87,14.8
Bengals,19.7,1812,4.4,69,16.7,33,5.3,99,15.8
Colts,24.5,1926,4.7,54,13.2,33,5.4,79,12.9
Jaguars,25,1703,3.8,86,19.3,33,5.7,77,13.2
Dolphins,23.8,2247,4.8,83,17.9,33,5.3,96,15.4
49ers,30,2653,4.8,70,12.8,33,5.9,78,14.1
Texans,20.5,1595,4,78,19.6,31,5.6,88,15.9
Rams,24.6,1660,3.9,96,22.6,31,5,101,16.4
Ravens,20.1,1430,3.7,77,20.1,31,5.1,81,13.3
Saints,28.4,1626,4.1,71,17.9,30,4.9,103,16.8
Chiefs,19.4,1939,4.4,70,16,28,4.5,77,12.3
Jets,25.6,1581,3.7,79,18.5,27,4.7,82,14.3
Browns,28.2,2283,4.6,54,10.8,26,4.6,81,14.2
Lions,22.4,1701,4.4,60,15.4,26,4.5,67,11.7
Raiders,24.1,1882,4.5,59,14,25,4.4,78,13.8
