TeamName,OpponentPointsPerGame,OpponentScore,OpponentPassingCompletions,OpponentPassingYards,OpponentPassingYardsPerAttempt,OpponentPassingTouchdowns,OpponentFirstDownsByPassing
Broncos,18.6,297,306,2972,5.4,13,169
Texans,20.5,328,319,3226,6.2,20,157
Vikings,19.2,307,332,3327,6.1,22,186
Cardinals,22.6,362,344,3365,6.2,21,175
Jaguars,25,400,345,3444,6.3,20,174
Bills,23.6,378,306,3582,7,19,183
Bears,24.9,399,342,3598,6.8,22,188
Seahawks,18.2,292,331,3612,6.7,16,180
Ravens,20.1,321,369,3724,6.4,28,190
Rams,24.6,394,378,3732,6.4,32,194
Bengals,19.7,315,374,3800,6.4,22,196
Patriots,15.6,250,368,3806,6.4,21,190
Eagles,20.7,331,333,3832,6.9,25,177
49ers,30,480,323,3848,7.4,30,187
Dolphins,23.8,380,368,3875,6.6,30,199
Steelers,20.4,327,381,3882,6.6,20,184
Jets,25.6,409,347,3898,7.2,30,203
Chiefs,19.4,311,350,3958,6.6,23,209
Lions,22.4,358,399,3975,7.2,33,206
Chargers,26.4,423,364,3987,6.9,21,204
Browns,28.2,452,347,3996,7.4,36,220
Buccaneers,23.1,369,347,4012,7.3,24,203
Giants,17.8,284,369,4018,6.4,15,191
Raiders,24.1,385,328,4120,7.6,27,188
Redskins,23.9,383,387,4130,7,22,225
Cowboys,19.1,306,425,4167,6.6,25,226
Colts,24.5,392,377,4196,7.2,27,225
Falcons,25.4,406,422,4264,6.5,31,232
Panthers,25.1,402,409,4291,7,27,223
Titans,23.6,378,388,4307,6.8,25,227
Packers,24.2,388,370,4308,7.5,32,227
Saints,28.4,454,378,4380,7.5,27,230
