TeamName,OpponentPointsPerGame,OpponentRushingYards,OpponentRushingYardsPerAttempt,TacklesForLoss,TacklesForLossPercentage,OpponentTimesSacked,OpponentTimesSackedPercentage,QuarterbackHits,QuarterbackHitsPercentage
Bills,18.1,1705,4.1,96,23.1,52,8.5,90,14.7
Ravens,18.9,1408,3.6,74,19,50,7.8,110,17.1
Eagles,25,1771,3.7,95,20,49,7.7,70,10.9
Giants,25,2162,4.9,78,17.8,47,8.3,92,16.2
Chiefs,17.6,2036,4.7,71,16.4,46,7.8,84,14.2
Jaguars,25.8,2033,4.1,84,16.8,45,7.7,70,11.9
Jets,25.1,1489,3.8,69,17.6,45,7.7,105,18
Lions,17.6,1109,3.2,104,29.7,42,6.6,109,17.2
Packers,21.8,1918,4.3,71,15.8,41,6.8,92,15.2
Colts,23.1,1814,4.3,74,17.5,41,7,83,14.2
Rams,22.1,1766,4.2,90,21.3,41,7.1,72,12.4
Broncos,22.1,1276,3.7,88,25.2,41,6,91,13.3
Vikings,21.4,1943,4.3,68,15.1,41,7.1,89,15.5
Panthers,23.4,1792,4.5,66,16.6,40,6.6,73,12.1
Patriots,19.6,1669,4,70,16.7,40,6.5,77,12.5
Titans,27.4,2194,4.3,89,17.3,39,6.7,64,11
Bears,27.6,1804,4.3,67,15.9,39,6.6,76,12.9
Dolphins,23.3,1937,4.3,77,17,39,6.8,67,11.6
Texans,19.2,1674,4,79,18.8,37,5.6,113,17.2
Seahawks,15.9,1304,3.4,83,21.8,37,6.8,83,15.3
Redskins,27.4,1722,4.1,72,17.1,37,6.6,76,13.6
49ers,21.2,1612,4,76,18.9,36,6.1,76,12.9
Cardinals,18.7,1739,4.4,86,21.6,35,5.7,77,12.5
Buccaneers,25.6,1813,3.9,93,19.8,35,5.8,71,11.9
Saints,26.5,2125,4.8,64,14.4,34,5.9,62,10.7
Steelers,23,1597,4.3,61,16.6,33,5.7,79,13.7
Browns,21.1,2260,4.5,66,13.2,31,5,65,10.5
Cowboys,22,1647,4.2,65,16.6,28,4.8,78,13.3
Chargers,21.8,1986,4.5,72,16.4,26,4.7,47,8.5
Falcons,26.1,1894,4.2,56,12.4,22,3.7,65,11.1
Raiders,28.2,1911,4,76,15.8,22,3.9,54,9.6
Bengals,21.5,1858,4.2,61,13.9,20,3.2,71,11.3
