TeamName,OpponentPointsPerGame,OpponentScore,OpponentPassingCompletions,OpponentPassingYards,OpponentPassingYardsPerAttempt,OpponentPassingTouchdowns,OpponentFirstDownsByPassing
Seahawks,15.9,254,313,2970,5.9,17,175
Chiefs,17.6,281,318,3252,6,22,184
Bills,18.1,289,337,3283,5.9,16,171
Chargers,21.8,348,320,3426,6.5,24,168
49ers,21.2,340,324,3531,6.4,29,188
Dolphins,23.3,373,338,3557,6.6,27,194
Vikings,21.4,343,354,3572,6.7,26,189
Browns,21.1,337,335,3584,6.1,22,184
Broncos,22.1,354,399,3607,5.6,29,219
Packers,21.8,348,333,3623,6.4,26,196
Panthers,23.4,374,364,3645,6.5,25,193
Colts,23.1,369,320,3669,6.8,27,175
Lions,17.6,282,383,3706,6.3,23,209
Jets,25.1,401,345,3746,7,31,194
Titans,27.4,438,347,3774,6.9,28,211
Raiders,28.2,452,343,3810,7.1,29,190
Patriots,19.6,313,342,3837,6.7,24,196
Giants,25,400,324,3850,7.4,25,187
Rams,22.1,354,368,3851,7.1,18,189
Bengals,21.5,344,365,3888,6.4,18,197
Texans,19.2,307,363,3897,6.3,28,206
Jaguars,25.8,412,355,3899,7.2,24,200
Ravens,18.9,302,382,3973,6.7,22,205
Redskins,27.4,438,346,3985,7.7,35,195
Saints,26.5,424,341,4019,7.4,26,205
Cowboys,22,352,371,4031,7.2,22,195
Steelers,23,368,351,4057,7.5,30,193
Buccaneers,25.6,410,387,4090,7.3,28,223
Cardinals,18.7,299,365,4152,7.2,22,195
Bears,27.6,442,366,4230,7.7,34,227
Eagles,25,400,345,4238,7.2,30,211
Falcons,26.1,417,359,4478,7.9,20,224
