TeamName,OpponentPointsPerGame,OpponentScore,OpponentOffensivePlays,OpponentOffensiveYards,OpponentOffensiveYardsPerPlay,OpponentFirstDowns,OpponentThirdDownConversions,OpponentThirdDownAttempts,OpponentThirdDownPercentage,OpponentRedZoneConversions,OpponentRedZoneAttempts,OpponentRedZonePercentage,OpponentPenalties,OpponentPenaltyYards,OpponentTimeOfPossession,OpponentTurnoverDifferential
Seahawks,15.9,254,925,4274,4.6,277,75,202,37.1,22,37,59.5,70,613,28:59,-10
Lions,17.6,282,984,4815,4.9,310,77,207,37.2,26,49,53.1,99,849,28:19,-7
Broncos,22.1,354,1032,4883,4.7,311,81,222,36.5,30,52,57.7,103,816,30:36,-5
Bills,18.1,289,1027,4988,4.9,302,73,220,33.2,22,44,50,104,849,31:35,-7
49ers,21.2,340,989,5143,5.2,308,88,203,43.3,27,44,61.4,122,909,29:11,-7
Jets,25.1,401,976,5235,5.4,300,99,219,45.2,29,49,59.2,91,781,29:16,11
Chiefs,17.6,281,1024,5288,5.2,310,79,216,36.6,21,54,38.9,107,851,30:00,3
Ravens,18.9,302,1034,5381,5.2,311,89,221,40.3,23,54,42.6,110,1007,30:20,-2
Chargers,21.8,348,988,5412,5.5,307,89,207,43,27,52,51.9,129,1058,29:20,5
Panthers,23.4,374,999,5437,5.4,309,89,210,42.4,29,46,63,97,761,29:40,-3
Colts,23.1,369,1008,5483,5.4,309,67,201,33.3,33,50,66,101,866,28:06,5
Dolphins,23.3,373,1029,5494,5.3,309,98,223,43.9,29,55,52.7,105,920,30:52,-2
Patriots,19.6,313,1033,5506,5.3,329,84,209,40.2,22,46,47.8,92,752,30:23,-12
Vikings,21.4,343,1026,5515,5.4,321,90,217,41.5,26,48,54.2,112,938,31:26,1
Packers,21.8,348,1054,5541,5.3,339,83,206,40.3,27,48,56.2,104,945,29:28,-14
Texans,19.2,307,1077,5571,5.2,329,74,218,33.9,22,46,47.8,99,785,29:21,-12
Rams,22.1,354,1004,5617,5.6,301,82,212,38.7,18,39,46.2,105,882,31:47,2
Steelers,23,368,945,5654,6,314,71,189,37.6,27,50,54,97,835,28:36,0
Cowboys,22,352,978,5678,5.8,315,89,204,43.6,30,49,61.2,104,863,28:02,-6
Redskins,27.4,438,978,5707,5.8,307,89,207,43,25,48,52.1,144,1164,30:39,12
Raiders,28.2,452,1041,5721,5.5,320,85,221,38.5,30,57,52.6,116,941,32:40,15
Bengals,21.5,344,1067,5746,5.4,337,79,215,36.7,27,55,49.1,105,876,30:25,0
Browns,21.1,337,1118,5844,5.2,348,90,239,37.7,25,54,46.3,98,769,32:47,-6
Cardinals,18.7,299,1012,5891,5.8,300,81,216,37.5,18,41,43.9,130,1192,30:12,-8
Buccaneers,25.6,410,1068,5903,5.5,353,93,213,43.7,32,52,61.5,106,935,33:05,8
Jaguars,25.8,412,1085,5932,5.5,329,101,236,42.8,27,56,48.2,115,886,33:49,6
Titans,27.4,438,1099,5968,5.4,357,94,227,41.4,37,63,58.7,93,731,32:29,10
Eagles,25,400,1114,6009,5.4,338,88,232,37.9,25,43,58.1,121,1089,33:20,8
Giants,25,400,1007,6012,6,326,72,200,36,25,51,49,105,948,29:16,2
Bears,27.6,442,1009,6034,6,325,85,201,42.3,37,71,52.1,106,978,30:06,5
Saints,26.5,424,1023,6144,6,345,99,215,46,32,51,62.7,105,889,30:29,13
Falcons,26.1,417,1038,6372,6.1,358,95,203,46.8,33,58,56.9,91,744,31:39,-5
