,index,TeamName,PointsPerGame_x,Score_x,OffensivePlays,OffensiveYards,OffensiveYardsPerPlay,FirstDowns,ThirdDownConversions,ThirdDownAttempts,ThirdDownPercentage,RedZoneConversions,RedZoneAttempts,RedZonePercentage,Penalties,PenaltyYards,TimeOfPossession_x,TurnoverDifferential,curYear,nextYear,PointsPerGame_y,RushingYards_x,RushingYardsPerAttempt_x,OpponentTacklesForLoss,OpponentTacklesForLossPercentage,TimesSacked_x,TimesSackedPercentage,OpponentQuarterbackHits,OpponentQuarterbackHitsPercentage,PointsPerGame_x,Score_y,PassingCompletions_x,PassingAttempts,CompletionPercentage,PassingYards_x,PassingYardsPerAttempt_x,PassingYardsPerCompletion,PassingTouchdowns_x,PassingInterceptions,FirstDownsByPassing_x,TimesSacked_y,TimesSackedYards,PasserRating,PointsPerGame_y,Score_x,RushingAttempts,RushingYards_y,RushingYardsPerAttempt_y,RushingTouchdowns,FirstDownsByRushing,TimeOfPossession_y,PointsPerGame,Score_y,PassingCompletions_y,PassingYards_y,PassingYardsPerAttempt_y,PassingTouchdowns_y,FirstDownsByPassing_y,OpponentPointsPerGame_x,OpponentScore_x,OpponentOffensivePlays,OpponentOffensiveYards,OpponentOffensiveYardsPerPlay,OpponentFirstDowns,OpponentThirdDownConversions,OpponentThirdDownAttempts,OpponentThirdDownPercentage,OpponentRedZoneConversions,OpponentRedZoneAttempts,OpponentRedZonePercentage,OpponentPenalties,OpponentPenaltyYards,OpponentTimeOfPossession_x,OpponentTurnoverDifferential,OpponentPointsPerGame_y,OpponentRushingYards_x,OpponentRushingYardsPerAttempt_x,TacklesForLoss,TacklesForLossPercentage,OpponentTimesSacked_x,OpponentTimesSackedPercentage,QuarterbackHits,QuarterbackHitsPercentage,OpponentPointsPerGame_x,OpponentScore_y,OpponentPassingCompletions_x,OpponentPassingAttempts,OpponentCompletionPercentage,OpponentPassingYards_x,OpponentPassingYardsPerAttempt_x,OpponentPassingYardsPerCompletion,OpponentPassingTouchdowns_x,OpponentPassingInterceptions,OpponentFirstDownsByPassing_x,OpponentTimesSacked_y,OpponentTimesSackedYards,OpponentPasserRating,OpponentPointsPerGame_y,OpponentScore_x,OpponentRushingAttempts,OpponentRushingYards_y,OpponentRushingYardsPerAttempt_y,OpponentRushingTouchdowns,OpponentFirstDownsByRushing,OpponentTimeOfPossession_y,OpponentPointsPerGame,OpponentScore_y,OpponentPassingCompletions_y,OpponentPassingYards_y,OpponentPassingYardsPerAttempt_y,OpponentPassingTouchdowns_y,OpponentFirstDownsByPassing_y
30,30,Cardinals,18.1,289,931,4309,4.6,241,58,209,27.8,16,37,43.2,108,870,26:23,-5,2010,2011,18.1,1388,4.3,77,24.1,50,8.2,89,14.6,18.1,289,285,561,50.8,2921,5.2,10.2,10,19,154,50,undefined,58,18.1,289,320,1388,4.3,11,67,26:23,18.1,289,285,2921,5.2,10,154,27.1,434,1092,5977,5.5,339,87,233,37.3,27,69,39.1,108,894,34:57,5,27.1,2323,4.4,87,16.5,33,5.8,68,12.0,27.1,434,324,533,60.8,3654,6.9,11.3,22,17,178,33,227,82,27.1,434,526,2323,4.4,19,123,34:57,27.1,434,324,3654,6.9,22,178
31,31,Panthers,12.2,196,962,4135,4.3,225,69,227,30.4,10,33,30.3,106,918,27:24,-8,2010,2011,12.2,1846,4.3,94,22.0,50,9.4,93,17.4,12.2,196,256,484,52.9,2289,4.7,8.9,9,21,125,50,undefined,54,12.2,196,428,1846,4.3,7,78,27:24,12.2,196,256,2289,4.7,9,125,25.5,408,1060,5374,5.1,328,81,213,38.0,32,66,48.5,90,760,33:36,8,25.5,1981,3.9,85,16.9,31,5.6,73,13.1,25.5,408,326,526,62.0,3393,6.5,10.4,19,17,176,31,224,79,25.5,408,503,1981,3.9,21,121,33:36,25.5,408,326,3393,6.5,19,176
32,0,Saints,34.2,547,1117,7474,6.7,416,118,208,56.7,44,75,58.7,99,851,32:59,-3,2011,2012,34.2,2127,4.9,59,13.7,24,3.5,53,7.7,34.2,547,472,662,71.3,5347,8.1,11.3,46,14,280,24,undefined,110,34.2,547,431,2127,4.9,16,116,32:59,34.2,547,472,5347,8.1,46,280,21.2,339,1010,5895,5.8,326,67,202,33.2,23,39,59.0,109,912,28:26,3,21.2,1738,5.0,59,16.8,33,5.0,75,11.4,21.2,339,362,626,57.8,4157,6.6,11.5,24,9,196,33,256,85,21.2,339,351,1738,5.0,11,92,28:26,21.2,339,362,4157,6.6,24,196
33,1,Patriots,32.1,513,1082,6848,6.3,399,89,194,45.9,47,72,65.3,87,815,29:47,17,2011,2012,32.1,1764,4.0,54,12.3,32,5.0,68,10.6,32.1,513,402,612,65.7,5084,8.3,12.6,39,12,262,32,undefined,105,32.1,513,438,1764,4.0,18,107,29:47,32.1,513,402,5084,8.3,39,262,21.4,342,1064,6584,6.2,370,87,202,43.1,34,61,55.7,115,907,31:13,-17,21.4,1862,4.6,64,15.9,40,6.1,88,13.3,21.4,342,388,621,62.5,4722,7.6,12.2,26,23,246,40,274,84,21.4,342,403,1862,4.6,13,100,31:13,21.4,342,388,4722,7.6,26,246
34,2,Packers,35.0,560,988,6482,6.6,353,91,189,48.1,43,66,65.2,76,589,30:29,24,2011,2012,35.0,1564,3.9,71,17.9,41,6.9,67,11.3,35.0,560,375,551,68.1,4918,8.9,13.1,51,8,230,41,undefined,121,35.0,560,396,1564,3.9,12,89,30:29,35.0,560,375,4918,8.9,51,230,22.4,359,1049,6583,6.3,358,83,195,42.6,31,56,55.4,122,948,30:31,-24,22.4,1796,4.7,56,14.6,29,4.4,63,9.5,22.4,359,389,636,61.2,4787,7.5,12.3,29,31,245,29,192,79,22.4,359,384,1796,4.7,11,97,30:31,22.4,359,389,4787,7.5,29,245
35,3,Eagles,24.8,396,1035,6387,6.2,356,85,204,41.7,34,66,51.5,107,853,31:20,-14,2011,2012,24.8,2277,5.1,85,19.0,33,5.6,67,11.4,24.8,396,330,554,59.6,4110,7.4,12.5,22,25,197,33,undefined,77,24.8,396,448,2277,5.1,20,134,31:20,24.8,396,330,4110,7.4,22,197,20.5,328,982,5198,5.3,289,75,211,35.5,28,47,59.6,97,813,29:40,14,20.5,1801,4.4,98,23.7,50,8.8,89,15.7,20.5,328,301,518,58.1,3397,6.6,11.3,27,15,173,50,316,83,20.5,328,414,1801,4.4,11,84,29:40,20.5,328,301,3397,6.6,27,173
36,4,Lions,29.6,474,1058,6337,6.0,349,76,212,35.8,37,58,63.8,128,1075,30:09,11,2011,2012,29.6,1523,4.3,65,18.3,36,5.1,77,11.0,29.6,474,423,666,63.5,4814,7.2,11.4,41,16,244,36,undefined,96,29.6,474,356,1523,4.3,9,71,30:09,29.6,474,423,4814,7.2,41,244,24.2,387,1055,5881,5.6,325,67,205,32.7,26,53,49.1,119,982,30:58,-11,24.2,2052,5.0,65,15.9,42,6.5,70,10.8,24.2,387,376,604,62.3,3829,6.3,10.2,26,21,195,42,273,80,24.2,387,409,2052,5.0,10,91,30:58,24.2,387,376,3829,6.3,26,195
37,5,Chargers,25.4,406,1048,6290,6.0,359,103,211,48.8,29,54,53.7,91,753,32:27,-7,2011,2012,25.4,1866,4.3,51,11.7,31,5.1,50,8.2,25.4,406,366,582,62.9,4424,7.6,12.1,27,20,234,31,undefined,87,25.4,406,435,1866,4.3,16,97,32:27,25.4,406,366,4424,7.6,27,234,23.6,377,958,5547,5.8,311,96,195,49.2,29,49,59.2,92,760,29:04,7,23.6,1956,4.4,69,15.4,32,6.3,49,9.6,23.6,377,299,478,62.6,3591,7.5,12.0,29,17,186,32,187,91,23.6,377,448,1956,4.4,8,102,29:04,23.6,377,299,3591,7.5,29,186
38,6,Panthers,25.4,406,999,6237,6.2,345,75,185,40.5,33,57,57.9,113,1013,30:16,1,2011,2012,25.4,2411,5.4,64,14.4,36,6.5,66,11.9,25.4,406,312,519,60.1,3826,7.4,12.3,21,17,175,36,undefined,83,25.4,406,444,2411,5.4,26,139,30:16,25.4,406,312,3826,7.4,21,175,26.8,429,972,6042,6.2,328,83,194,42.8,33,56,58.9,98,901,30:44,-1,26.8,2093,4.6,66,14.6,31,6.0,48,9.2,26.8,429,318,490,64.9,3949,8.1,12.4,28,14,191,31,170,97,26.8,429,451,2093,4.6,18,110,30:44,26.8,429,318,3949,8.1,28,191
39,7,Giants,24.6,394,1027,6138,6.0,331,77,206,37.4,32,56,57.1,94,795,30:30,7,2011,2012,24.6,1427,3.5,68,16.5,28,4.5,70,11.4,24.6,394,358,588,60.9,4711,8.0,13.2,29,16,215,28,undefined,91,24.6,394,411,1427,3.5,17,84,30:30,24.6,394,358,4711,8.0,29,215,25.0,400,1072,6022,5.6,338,84,220,38.2,34,61,55.7,111,956,30:30,-7,25.0,1940,4.5,88,20.2,48,7.5,87,13.7,25.0,400,361,589,61.3,4082,6.9,11.3,28,20,210,48,335,84,25.0,400,435,1940,4.5,15,103,30:30,25.0,400,361,4082,6.9,28,210
40,8,Raiders,22.4,359,1015,6070,6.0,328,71,199,35.7,24,47,51.1,163,1358,30:55,-4,2011,2012,22.4,2110,4.5,62,13.3,25,4.6,62,11.3,22.4,359,315,524,60.1,3960,7.6,12.6,20,23,186,25,undefined,78,22.4,359,466,2110,4.5,16,110,30:55,22.4,359,315,3960,7.6,20,186,27.1,433,1069,6201,5.8,369,92,219,42.0,30,51,58.8,120,982,30:13,4,27.1,2172,5.1,70,16.3,39,6.1,77,12.1,27.1,433,324,600,54.0,4029,6.7,12.4,31,18,206,39,233,80,27.1,433,430,2172,5.1,15,105,30:13,27.1,433,324,4029,6.7,31,206
41,9,Falcons,25.1,402,1073,6026,5.6,349,99,224,44.2,31,59,52.5,93,769,32:18,8,2011,2012,25.1,1834,4.0,73,16.1,26,4.2,78,12.6,25.1,402,365,594,61.4,4192,7.1,11.5,29,13,215,26,undefined,90,25.1,402,453,1834,4.0,14,100,32:18,25.1,402,365,4192,7.1,29,215,21.9,350,965,5338,5.5,292,93,211,44.1,22,47,46.8,101,843,28:07,-8,21.9,1555,4.2,73,19.7,34,5.7,78,13.1,21.9,350,340,560,60.7,3783,6.8,11.1,25,19,186,34,234,82,21.9,350,371,1555,4.2,10,87,28:07,21.9,350,340,3783,6.8,25,186
42,10,Cowboys,23.1,369,1017,6008,5.9,327,78,198,39.4,25,51,49.0,114,816,31:25,4,2011,2012,23.1,1807,4.4,83,20.3,39,6.4,78,12.8,23.1,369,376,570,66.0,4201,7.4,11.2,33,12,219,39,undefined,98,23.1,369,408,1807,4.4,5,91,31:25,23.1,369,376,4201,7.4,33,219,21.7,347,972,5488,5.6,305,81,204,39.7,27,49,55.1,85,650,30:33,-4,21.7,1585,4.1,91,23.6,42,7.2,89,15.2,21.7,347,336,545,61.7,3903,7.2,11.6,24,15,199,42,243,87,21.7,347,385,1585,4.1,10,78,30:33,21.7,347,336,3903,7.2,24,199
43,11,Steelers,20.3,325,1015,5957,5.9,341,90,196,45.9,27,53,50.9,101,854,33:33,-13,2011,2012,20.3,1903,4.4,77,17.7,42,7.2,75,12.9,20.3,325,341,539,63.3,4054,7.5,11.9,21,15,221,42,undefined,88,20.3,325,434,1903,4.4,13,96,33:33,20.3,325,341,4054,7.5,21,221,14.2,227,964,4348,4.5,264,86,221,38.9,17,31,54.8,96,770,27:27,13,14.2,1597,4.0,65,16.3,35,6.2,70,12.4,14.2,227,289,530,54.5,2751,5.2,9.5,15,11,156,35,230,70,14.2,227,399,1597,4.0,7,82,27:27,14.2,227,289,2751,5.2,15,156
44,12,Texans,23.8,381,1046,5954,5.7,321,93,224,41.5,28,60,46.7,99,852,33:40,7,2011,2012,23.8,2448,4.5,75,13.7,33,6.6,62,12.4,23.8,381,288,467,61.7,3506,7.5,12.2,20,9,176,33,undefined,91,23.8,381,546,2448,4.5,19,131,33:40,23.8,381,288,3506,7.5,20,176,17.4,278,960,4571,4.8,270,76,212,35.8,21,44,47.7,88,686,27:20,-7,17.4,1536,4.1,74,19.6,44,7.6,104,17.9,17.4,278,279,538,51.9,3035,5.6,10.9,18,17,166,44,287,67,17.4,278,378,1536,4.1,8,73,27:20,17.4,278,279,3035,5.6,18,166
45,13,Bills,23.2,372,992,5617,5.7,313,62,191,32.5,28,53,52.8,86,743,30:11,1,2011,2012,23.2,1908,4.9,62,15.8,22,3.7,67,11.2,23.2,372,356,578,61.6,3709,6.4,10.4,24,25,180,22,undefined,76,23.2,372,392,1908,4.9,12,100,30:11,23.2,372,356,3709,6.4,24,180,27.1,434,1003,5946,5.9,340,75,189,39.7,38,59,64.4,84,866,30:49,-1,27.1,2224,4.8,58,12.4,28,5.2,51,9.5,27.1,434,321,508,63.2,3722,7.3,11.6,30,21,196,28,202,88,27.1,434,467,2224,4.8,19,120,30:49,27.1,434,321,3722,7.3,30,196
46,14,Ravens,23.6,378,1036,5419,5.2,312,97,229,42.4,25,49,51.0,92,742,31:35,2,2011,2012,23.6,1996,4.3,60,13.1,33,5.7,71,12.3,23.6,378,314,544,57.7,3423,6.3,10.9,21,12,181,33,undefined,80,23.6,378,459,1996,4.3,15,98,31:35,23.6,378,314,3423,6.3,21,181,16.6,266,1002,4622,4.6,269,71,221,32.1,16,42,38.1,103,1032,29:25,-2,16.6,1482,3.5,74,17.7,48,8.2,87,14.9,16.6,266,288,535,53.8,3140,5.9,10.9,11,15,166,48,290,67,16.6,266,419,1482,3.5,11,79,29:25,16.6,266,288,3140,5.9,11,166
47,15,Redskins,18.0,288,1032,5384,5.2,312,81,219,37.0,21,51,41.2,90,892,30:26,-14,2011,2012,18.0,1614,4.0,72,17.9,39,6.2,101,16.0,18.0,288,346,591,58.5,3770,6.4,10.9,19,24,204,39,undefined,71,18.0,288,402,1614,4.0,8,79,30:26,18.0,288,346,3770,6.4,19,204,22.9,367,988,5437,5.5,295,77,206,37.4,25,57,43.9,123,1006,30:09,14,22.9,1884,4.3,61,13.9,41,7.5,78,14.2,22.9,367,308,509,60.5,3553,7.0,11.5,22,13,180,41,251,85,22.9,367,438,1884,4.3,15,95,30:09,22.9,367,308,3553,7.0,22,180
48,16,Titans,20.3,325,984,5361,5.4,281,80,218,36.7,22,37,59.5,104,960,28:54,1,2011,2012,20.3,1438,3.8,65,17.3,24,3.9,52,8.6,20.3,325,353,584,60.4,3923,6.7,11.1,22,14,185,24,undefined,83,20.3,325,376,1438,3.8,8,71,28:54,20.3,325,353,3923,6.7,22,185,19.8,317,1080,5675,5.3,324,96,236,40.7,23,48,47.9,99,812,32:06,-1,19.8,2046,4.4,70,15.2,28,4.5,58,9.4,19.8,317,369,591,62.4,3629,6.1,9.8,21,11,187,28,180,84,19.8,317,461,2046,4.4,10,111,32:06,19.8,317,369,3629,6.1,21,187
49,17,Vikings,21.2,340,1007,5275,5.2,297,83,216,38.4,30,53,56.6,109,908,29:43,-3,2011,2012,21.2,2318,5.2,88,19.6,49,8.8,71,12.7,21.2,340,286,510,56.1,2957,5.8,10.3,20,17,159,49,undefined,72,21.2,340,448,2318,5.2,18,118,29:43,21.2,340,286,2957,5.8,20,159,28.1,449,1027,5731,5.6,332,92,208,44.2,29,56,51.8,97,834,31:25,3,28.1,1712,3.9,84,19.1,50,8.5,79,13.4,28.1,449,367,538,68.2,4019,7.5,11.0,34,8,213,50,342,105,28.1,449,439,1712,3.9,10,92,31:25,28.1,449,367,4019,7.5,34,213
50,18,Cardinals,19.5,312,993,5192,5.2,286,66,205,32.2,23,45,51.1,106,997,29:43,-13,2011,2012,19.5,1625,4.2,84,21.6,54,8.9,79,13.1,19.5,312,307,550,55.8,3567,6.5,11.6,21,23,175,54,undefined,71,19.5,312,389,1625,4.2,12,83,29:43,19.5,312,307,3567,6.5,21,175,21.8,348,1095,5682,5.2,333,71,226,31.4,23,58,39.7,122,950,32:26,13,21.8,1986,4.2,92,19.4,42,6.8,79,12.7,21.8,348,340,578,58.8,3696,6.4,10.9,17,10,174,42,304,80,21.8,348,475,1986,4.2,15,118,32:26,21.8,348,340,3696,6.4,17,174
51,19,Bengals,21.5,344,1015,5118,5.0,285,80,219,36.5,23,51,45.1,99,874,30:19,0,2011,2012,21.5,1778,3.9,58,12.7,25,4.5,55,9.8,21.5,344,308,535,57.6,3340,6.2,10.8,21,14,160,25,undefined,78,21.5,344,455,1778,3.9,10,93,30:19,21.5,344,308,3340,6.2,21,160,20.2,323,1009,5060,5.0,284,78,220,35.5,24,41,58.5,101,878,30:41,0,20.2,1675,3.9,81,19.1,45,7.7,102,17.5,20.2,323,319,539,59.2,3385,6.3,10.6,21,10,170,45,277,83,20.2,323,425,1675,3.9,14,94,30:41,20.2,323,319,3385,6.3,21,170
52,20,Buccaneers,17.9,287,966,5108,5.3,276,76,206,36.9,19,38,50.0,123,1007,29:01,-16,2011,2012,17.9,1458,4.2,76,22.0,32,5.2,57,9.2,17.9,287,365,588,62.1,3650,6.2,10.0,17,24,180,32,undefined,72,17.9,287,346,1458,4.2,9,74,29:01,17.9,287,365,3650,6.2,17,180,30.9,494,1002,6311,6.3,356,73,185,39.5,40,70,57.1,95,786,31:59,16,30.9,2497,5.0,83,16.7,23,4.6,44,8.7,30.9,494,301,481,62.6,3814,7.9,12.7,30,14,188,23,148,96,30.9,494,498,2497,5.0,26,135,31:59,30.9,494,301,3814,7.9,30,188
53,21,Dolphins,20.6,329,990,5085,5.1,287,69,207,33.3,25,53,47.2,85,779,31:37,-6,2011,2012,20.6,1981,4.2,88,18.8,52,10.0,89,17.0,20.6,329,281,470,59.8,3104,6.6,11.0,20,13,167,52,undefined,82,20.6,329,468,1981,4.2,11,88,31:37,20.6,329,281,3104,6.6,20,167,19.6,313,1043,5522,5.3,310,74,219,33.8,23,52,44.2,112,975,30:51,6,19.6,1536,3.7,79,19.2,42,6.6,90,14.2,19.6,313,350,590,59.3,3986,6.8,11.4,24,16,198,42,247,82,19.6,313,411,1536,3.7,8,88,30:51,19.6,313,350,3986,6.8,24,198
54,22,Broncos,19.3,309,1017,5074,5.0,286,66,214,30.8,17,36,47.2,101,842,30:43,-12,2011,2012,19.3,2638,4.8,73,13.4,43,9.1,58,12.3,19.3,309,217,430,50.5,2436,5.7,11.2,20,14,130,43,undefined,70,19.3,309,544,2638,4.8,11,129,30:43,19.3,309,217,2436,5.7,20,130,24.4,390,1063,5725,5.4,315,73,218,33.5,27,52,51.9,99,845,32:04,12,24.4,2021,4.1,87,17.8,41,7.1,73,12.7,24.4,390,333,534,62.4,3704,6.9,11.1,24,9,182,41,283,91,24.4,390,488,2021,4.1,12,101,32:04,24.4,390,333,3704,6.9,24,182
55,23,Bears,22.1,353,978,5027,5.1,271,66,203,32.5,20,38,52.6,104,800,30:25,2,2011,2012,22.1,2016,4.4,106,23.2,49,9.4,81,15.5,22.1,353,268,473,56.7,3011,6.4,11.2,18,20,153,49,undefined,71,22.1,353,456,2016,4.4,11,97,30:25,22.1,353,268,3011,6.4,18,153,21.3,341,1048,5607,5.4,291,80,229,34.9,25,56,44.6,98,719,30:59,-2,21.3,1542,4.0,85,22.1,33,5.0,59,8.9,21.3,341,383,631,60.7,4065,6.4,10.6,22,20,199,33,208,78,21.3,341,384,1542,4.0,10,75,30:59,21.3,341,383,4065,6.4,22,199
56,24,Jets,23.6,377,1029,4989,4.8,301,74,213,34.7,36,55,65.5,102,849,31:49,-3,2011,2012,23.6,1692,3.8,60,13.5,40,6.8,71,12.1,23.6,377,310,546,56.8,3297,6.0,10.6,26,18,173,40,undefined,77,23.6,377,443,1692,3.8,15,92,31:49,23.6,377,310,3297,6.0,26,173,22.7,363,993,4993,5.0,272,69,211,32.7,23,44,52.3,110,966,29:11,3,22.7,1777,3.9,70,15.5,35,6.5,64,11.8,22.7,363,275,507,54.2,3216,6.3,11.7,15,19,167,35,198,68,22.7,363,451,1777,3.9,17,83,29:11,22.7,363,275,3216,6.3,15,167
57,25,49ers,23.8,380,993,4974,5.0,282,65,221,29.4,22,54,40.7,113,1014,32:08,28,2011,2012,23.8,2038,4.1,96,19.3,44,8.9,81,16.3,23.8,380,278,452,61.5,2936,6.5,10.6,18,5,150,44,undefined,89,23.8,380,497,2038,4.1,14,101,32:08,23.8,380,278,2936,6.5,18,150,14.3,229,974,4933,5.1,267,76,216,35.2,14,34,41.2,98,867,28:03,-28,14.3,1238,3.5,72,20.3,40,6.5,88,14.2,14.3,229,333,579,57.5,3695,6.4,11.1,20,23,190,40,283,72,14.3,229,355,1238,3.5,3,53,28:03,14.3,229,333,3695,6.4,20,190
58,26,Chiefs,13.2,212,1021,4973,4.9,277,81,225,36.0,12,36,33.3,110,916,30:32,-2,2011,2012,13.2,1887,3.9,76,15.6,34,6.4,76,14.2,13.2,212,300,501,59.9,3086,6.2,10.3,13,18,163,34,undefined,71,13.2,212,486,1887,3.9,5,89,30:32,13.2,212,300,3086,6.2,13,163,21.1,338,991,5333,5.4,291,72,210,34.3,28,51,54.9,108,832,31:13,2,21.1,2112,4.2,59,11.6,29,6.0,62,12.8,21.1,338,257,454,56.6,3221,7.1,12.5,23,20,169,29,186,77,21.1,338,508,2112,4.2,14,96,31:13,21.1,338,257,3221,7.1,23,169
59,27,Seahawks,20.1,321,1003,4863,4.8,265,77,228,33.8,22,46,47.8,138,1047,28:23,8,2011,2012,20.1,1755,3.9,86,19.3,48,8.6,111,19.9,20.1,321,299,509,58.7,3108,6.1,10.4,15,14,153,48,undefined,75,20.1,321,446,1755,3.9,15,89,28:23,20.1,321,299,3108,6.1,15,153,19.7,315,1049,5315,5.1,310,77,221,34.8,19,39,48.7,96,907,32:11,-8,19.7,1799,3.8,77,16.3,34,5.9,73,12.7,19.7,315,324,543,59.7,3516,6.5,10.9,18,22,174,34,234,73,19.7,315,472,1799,3.8,10,96,32:11,19.7,315,324,3516,6.5,18,174
60,28,Browns,13.6,218,1024,4621,4.5,278,92,238,38.7,13,31,41.9,95,847,29:15,1,2011,2012,13.6,1533,3.7,66,15.9,40,6.6,81,13.3,13.6,218,320,570,56.1,3088,5.4,9.6,16,13,173,40,undefined,71,13.6,218,414,1533,3.7,4,77,29:15,13.6,218,320,3088,5.4,16,173,19.2,307,1035,5318,5.1,301,95,230,41.3,20,49,40.8,90,726,31:00,-1,19.2,2356,4.4,65,12.1,31,6.2,56,11.2,19.2,307,265,469,56.5,2962,6.3,11.2,16,9,149,31,196,79,19.2,307,535,2356,4.4,12,124,31:00,19.2,307,265,2962,6.3,16,149
61,29,Colts,15.2,243,951,4589,4.8,258,74,214,34.6,16,38,42.1,76,549,26:13,-12,2011,2012,15.2,1594,4.2,56,14.7,35,6.2,75,13.2,15.2,243,302,534,56.6,2995,5.6,9.9,14,14,170,35,undefined,70,15.2,243,382,1594,4.2,8,69,26:13,15.2,243,302,2995,5.6,14,170,26.9,430,1062,5935,5.6,343,98,216,45.4,35,57,61.4,84,804,34:47,12,26.9,2303,4.3,62,11.5,29,5.6,57,10.9,26.9,430,351,493,71.2,3632,7.4,10.3,25,8,193,29,192,102,26.9,430,540,2303,4.3,19,136,34:47,26.9,430,351,3632,7.4,25,193
62,30,Rams,12.1,193,1013,4537,4.5,267,64,228,28.1,12,31,38.7,113,922,28:11,-5,2011,2012,12.1,1674,4.1,96,23.4,55,9.1,108,17.9,12.1,193,291,548,53.1,2863,5.2,9.8,9,10,158,55,undefined,66,12.1,193,410,1674,4.1,7,80,28:11,12.1,193,291,2863,5.2,9,158,25.4,407,1031,5712,5.5,313,83,215,38.6,26,52,50.0,111,951,32:56,5,25.4,2434,4.8,86,16.9,39,7.5,77,14.8,25.4,407,292,483,60.5,3278,6.8,11.2,21,12,165,39,261,85,25.4,407,509,2434,4.8,17,122,32:56,25.4,407,292,3278,6.8,21,165
63,31,Jaguars,15.2,243,1002,4149,4.1,251,81,241,33.6,17,35,48.6,77,680,30:02,5,2011,2012,15.2,1970,4.0,91,18.6,44,8.6,72,14.0,15.2,243,240,469,51.2,2179,4.6,9.1,12,15,122,44,undefined,59,15.2,243,489,1970,4.0,9,103,30:02,15.2,243,240,2179,4.6,12,122,20.6,329,979,5008,5.1,268,79,218,36.2,24,43,55.8,105,895,30:58,-5,20.6,1667,3.8,63,14.5,31,5.7,65,11.9,20.6,329,326,513,63.5,3341,6.5,10.2,21,17,175,31,213,82,20.6,329,435,1667,3.8,14,73,30:58,20.6,329,326,3341,6.5,21,175
64,0,Patriots,34.8,557,1191,6846,5.7,444,110,226,48.7,49,70,70.0,97,840,31:56,25,2012,2013,34.8,2184,4.2,72,13.8,27,4.0,71,10.6,34.8,557,402,641,62.7,4662,7.3,11.6,34,9,256,27,undefined,96,34.8,557,523,2184,4.2,25,151,31:56,34.8,557,402,4662,7.3,34,256,20.7,331,1046,5972,5.7,340,82,205,40.0,24,46,52.2,101,932,30:33,-25,20.7,1630,3.9,71,17.1,37,5.9,66,10.5,20.7,331,369,594,62.1,4342,7.3,11.8,27,20,207,37,213,85,20.7,331,415,1630,3.9,11,100,30:33,20.7,331,369,4342,7.3,27,207
65,1,Saints,28.8,461,1067,6574,6.2,352,91,207,44.0,39,57,68.4,104,911,29:59,2,2012,2013,28.8,1577,4.3,53,14.3,26,3.7,58,8.3,28.8,461,423,671,63.0,4997,7.4,11.8,43,19,267,26,undefined,95,28.8,461,370,1577,4.3,10,64,29:59,28.8,461,423,4997,7.4,43,267,28.4,454,1089,7042,6.5,380,80,208,38.5,39,70,55.7,102,835,32:50,-2,28.4,2361,5.2,60,13.1,30,4.7,75,11.9,28.4,454,370,602,61.5,4681,7.8,12.7,31,15,236,30,194,92,28.4,454,457,2361,5.2,18,116,32:50,28.4,454,370,4681,7.8,31,236
66,2,Lions,23.2,372,1160,6540,5.6,382,97,228,42.5,33,55,60.0,103,944,32:05,-16,2012,2013,23.2,1613,4.1,62,15.9,29,3.8,78,10.1,23.2,372,445,740,60.1,4927,6.7,11.1,22,17,272,29,undefined,80,23.2,372,391,1613,4.1,17,84,32:05,23.2,372,445,4927,6.7,22,272,27.3,437,998,5458,5.5,305,76,208,36.5,20,39,51.3,93,789,29:29,16,27.3,1889,4.5,96,22.9,34,5.9,99,17.1,27.3,437,346,544,63.6,3569,6.6,10.3,26,11,167,34,237,90,27.3,437,420,1889,4.5,13,107,29:29,27.3,437,346,3569,6.6,26,167
67,3,Broncos,30.1,481,1090,6366,5.8,380,96,213,45.1,39,66,59.1,100,805,31:16,-1,2012,2013,30.1,1832,3.8,64,13.3,21,3.4,45,7.4,30.1,481,402,588,68.4,4534,7.7,11.3,37,11,232,21,undefined,104,30.1,481,481,1832,3.8,12,112,31:16,30.1,481,402,4534,7.7,37,232,18.1,289,1015,4652,4.6,287,66,216,30.6,24,41,58.5,123,951,29:44,1,18.1,1458,3.6,83,20.5,52,8.5,89,14.6,18.1,289,321,559,57.4,3194,5.7,10.0,25,16,183,52,364,77,18.1,289,404,1458,3.6,5,73,29:44,18.1,289,321,3194,5.7,25,183
68,4,Redskins,27.2,436,994,6131,6.2,341,68,190,35.8,32,53,60.4,116,985,31:12,17,2012,2013,27.2,2709,5.2,68,13.1,33,6.9,82,17.3,27.2,436,291,442,65.8,3422,7.7,11.8,24,8,171,33,undefined,100,27.2,436,519,2709,5.2,23,144,31:12,27.2,436,291,3422,7.7,24,171,24.2,388,1031,6043,5.9,340,95,215,44.2,30,52,57.7,100,811,29:01,-17,24.2,1532,4.2,61,16.8,32,4.8,71,10.6,24.2,388,393,636,61.8,4511,7.1,11.5,31,21,223,32,209,86,24.2,388,363,1532,4.2,11,89,29:01,24.2,388,393,4511,7.1,31,223
