,index,TeamName,PointsPerGame_x,Score_x,OffensivePlays,OffensiveYards,OffensiveYardsPerPlay,FirstDowns,ThirdDownConversions,ThirdDownAttempts,ThirdDownPercentage,RedZoneConversions,RedZoneAttempts,RedZonePercentage,Penalties,PenaltyYards,TimeOfPossession_x,TurnoverDifferential,curYear,nextYear,PointsPerGame_y,RushingYards_x,RushingYardsPerAttempt_x,OpponentTacklesForLoss,OpponentTacklesForLossPercentage,TimesSacked_x,TimesSackedPercentage,OpponentQuarterbackHits,OpponentQuarterbackHitsPercentage,PointsPerGame_x,Score_y,PassingCompletions_x,PassingAttempts,CompletionPercentage,PassingYards_x,PassingYardsPerAttempt_x,PassingYardsPerCompletion,PassingTouchdowns_x,PassingInterceptions,FirstDownsByPassing_x,TimesSacked_y,TimesSackedYards,PasserRating,PointsPerGame_y,Score_x,RushingAttempts,RushingYards_y,RushingYardsPerAttempt_y,RushingTouchdowns,FirstDownsByRushing,TimeOfPossession_y,PointsPerGame,Score_y,PassingCompletions_y,PassingYards_y,PassingYardsPerAttempt_y,PassingTouchdowns_y,FirstDownsByPassing_y,OpponentPointsPerGame_x,OpponentScore_x,OpponentOffensivePlays,OpponentOffensiveYards,OpponentOffensiveYardsPerPlay,OpponentFirstDowns,OpponentThirdDownConversions,OpponentThirdDownAttempts,OpponentThirdDownPercentage,OpponentRedZoneConversions,OpponentRedZoneAttempts,OpponentRedZonePercentage,OpponentPenalties,OpponentPenaltyYards,OpponentTimeOfPossession_x,OpponentTurnoverDifferential,OpponentPointsPerGame_y,OpponentRushingYards_x,OpponentRushingYardsPerAttempt_x,TacklesForLoss,TacklesForLossPercentage,OpponentTimesSacked_x,OpponentTimesSackedPercentage,QuarterbackHits,QuarterbackHitsPercentage,OpponentPointsPerGame_x,OpponentScore_y,OpponentPassingCompletions_x,OpponentPassingAttempts,OpponentCompletionPercentage,OpponentPassingYards_x,OpponentPassingYardsPerAttempt_x,OpponentPassingYardsPerCompletion,OpponentPassingTouchdowns_x,OpponentPassingInterceptions,OpponentFirstDownsByPassing_x,OpponentTimesSacked_y,OpponentTimesSackedYards,OpponentPasserRating,OpponentPointsPerGame_y,OpponentScore_x,OpponentRushingAttempts,OpponentRushingYards_y,OpponentRushingYardsPerAttempt_y,OpponentRushingTouchdowns,OpponentFirstDownsByRushing,OpponentTimeOfPossession_y,OpponentPointsPerGame,OpponentScore_y,OpponentPassingCompletions_y,OpponentPassingYards_y,OpponentPassingYardsPerAttempt_y,OpponentPassingTouchdowns_y,OpponentFirstDownsByPassing_y
10,10,Jets,22.9,367,1087,5616,5.2,307,93,235,39.6,20,50,40.0,103,934,33:37,9,2010,2011,22.9,2374,4.4,58,10.9,28,5.1,48,8.7,22.9,367,288,525,54.9,3242,6.2,11.3,20,14,171,28,undefined,75,22.9,367,534,2374,4.4,14,118,33:37,22.9,367,288,3242,6.2,20,171,19.0,304,979,4664,4.8,272,81,219,37.0,26,43,60.5,74,679,28:26,-9,19.0,1455,3.6,70,17.2,40,7.0,74,13.0,19.0,304,269,531,50.7,3209,6.0,11.9,24,12,169,40,245,75,19.0,304,408,1455,3.6,11,70,28:26,19.0,304,269,3209,6.0,24,169
11,11,Chiefs,22.9,366,1063,5595,5.3,319,83,226,36.7,31,52,59.6,90,771,32:39,9,2010,2011,22.9,2627,4.7,72,12.9,32,6.3,77,15.2,22.9,366,274,475,57.7,2968,6.2,10.8,27,8,167,32,undefined,88,22.9,366,556,2627,4.7,13,129,32:39,22.9,366,274,2968,6.2,27,167,20.4,326,1028,5283,5.1,293,84,223,37.7,26,37,70.3,111,922,30:14,-9,20.4,1764,4.3,62,15.2,39,6.3,81,13.1,20.4,326,319,581,54.9,3519,6.1,11.0,23,14,186,39,258,76,20.4,326,408,1764,4.3,11,88,30:14,20.4,326,319,3519,6.1,23,186
12,12,Broncos,21.5,344,1018,5581,5.5,309,67,207,32.4,29,52,55.8,98,944,28:09,-9,2010,2011,21.5,1544,3.9,84,21.1,40,6.5,65,10.5,21.5,344,334,580,57.6,4037,7.0,12.1,25,12,204,40,undefined,85,21.5,344,398,1544,3.9,13,81,28:09,21.5,344,334,4037,7.0,25,204,29.4,471,1056,6253,5.9,334,80,209,38.3,32,52,61.5,98,922,32:51,9,29.4,2473,4.7,60,11.3,23,4.4,59,11.2,29.4,471,297,502,59.2,3780,7.5,12.7,26,10,184,23,156,92,29.4,471,531,2473,4.7,26,126,32:51,29.4,471,297,3780,7.5,26,184
13,13,Steelers,23.4,375,993,5525,5.6,295,94,218,43.1,24,50,48.0,100,903,32:24,16,2010,2011,23.4,1925,4.1,85,18.0,43,8.2,79,15.1,23.4,375,298,479,62.2,3600,7.5,12.1,22,9,175,43,undefined,93,23.4,375,471,1925,4.1,15,106,32:24,23.4,375,298,3600,7.5,22,175,14.5,232,974,4429,4.5,272,70,209,33.5,16,40,40.0,86,716,29:34,-16,14.5,1004,3.0,70,21.0,48,7.5,73,11.4,14.5,232,363,593,61.2,3425,5.8,9.4,15,20,182,48,319,72,14.5,232,333,1004,3.0,5,61,29:34,14.5,232,363,3425,5.8,15,182
14,14,Jaguars,22.1,353,1019,5460,5.4,330,81,203,39.9,29,46,63.0,83,675,32:48,-15,2010,2011,22.1,2395,4.7,67,13.1,38,7.5,114,22.5,22.1,353,291,469,62.0,3065,6.5,10.5,26,21,161,38,undefined,81,22.1,353,512,2395,4.7,14,148,32:48,22.1,353,291,3065,6.5,26,161,26.2,419,948,5949,6.3,316,78,189,41.3,31,57,54.4,85,748,28:22,15,26.2,1945,4.7,68,16.3,26,4.9,68,12.8,26.2,419,329,506,65.0,4004,7.9,12.2,28,13,197,26,189,97,26.2,419,416,1945,4.7,19,98,28:22,26.2,419,329,4004,7.9,28,197
15,15,Falcons,25.9,414,1097,5458,5.0,353,112,240,46.7,35,58,60.3,58,598,33:47,14,2010,2011,25.9,1891,3.8,60,12.1,23,3.8,61,10.2,25.9,414,361,577,62.6,3567,6.2,9.9,28,9,200,23,undefined,90,25.9,414,497,1891,3.8,14,111,33:47,25.9,414,361,3567,6.2,28,200,18.0,288,957,5319,5.6,284,79,201,39.3,23,42,54.8,116,1003,28:12,-14,18.0,1694,4.6,72,19.7,31,5.2,53,9.0,18.0,288,364,560,65.0,3625,6.5,10.0,23,22,183,31,221,81,18.0,288,366,1694,4.6,9,87,28:12,18.0,288,364,3625,6.5,23,183
16,16,Lions,22.6,362,1064,5423,5.1,304,97,242,40.1,29,45,64.4,136,1018,30:48,4,2010,2011,22.6,1613,4.0,78,19.3,27,4.1,62,9.4,22.6,362,383,633,60.5,3810,6.0,9.9,26,16,199,27,undefined,81,22.6,362,404,1613,4.0,11,83,30:48,22.6,362,383,3810,6.0,26,199,23.1,369,1005,5499,5.5,320,77,198,38.9,27,46,58.7,106,854,31:40,-4,23.1,2001,4.5,82,18.5,44,7.8,84,14.9,23.1,369,330,518,63.7,3498,6.8,10.6,23,14,187,44,288,87,23.1,369,443,2001,4.5,18,98,31:40,23.1,369,330,3498,6.8,23,187
17,17,Redskins,18.9,302,1002,5374,5.4,295,61,208,29.3,22,43,51.2,90,647,29:50,-4,2010,2011,18.9,1461,4.2,93,26.5,46,7.1,99,15.2,18.9,302,349,605,57.7,3913,6.5,11.2,21,19,194,46,undefined,76,18.9,302,351,1461,4.2,9,72,29:50,18.9,302,349,3913,6.5,21,194,23.6,377,1051,6228,5.9,326,75,214,35.0,28,57,49.1,104,839,33:54,4,23.6,2041,4.6,55,12.4,29,4.8,72,11.9,23.6,377,367,578,63.5,4187,7.2,11.4,23,14,207,29,176,88,23.6,377,444,2041,4.6,15,106,33:54,23.6,377,367,4187,7.2,23,207
18,18,Buccaneers,21.3,341,955,5362,5.6,288,89,211,42.2,23,44,52.3,100,837,31:49,9,2010,2011,21.3,2001,4.6,63,14.6,30,5.7,69,13.2,21.3,341,306,494,61.9,3361,6.8,11.0,26,6,172,30,undefined,95,21.3,341,431,2001,4.6,9,97,31:49,21.3,341,306,3361,6.8,26,172,19.9,318,991,5323,5.4,307,92,213,43.2,26,48,54.2,79,676,30:30,-9,19.9,2107,4.7,69,15.5,26,4.8,55,10.1,19.9,318,307,521,58.9,3216,6.2,10.5,23,19,171,26,143,76,19.9,318,444,2107,4.7,12,118,30:30,19.9,318,307,3216,6.2,23,171
19,19,Bengals,20.1,322,1046,5289,5.1,317,87,224,38.8,27,55,49.1,90,720,31:14,-8,2010,2011,20.1,1522,3.6,61,14.3,28,4.5,72,11.7,20.1,322,365,590,61.9,3767,6.4,10.3,26,20,206,28,undefined,81,20.1,322,428,1522,3.6,8,85,31:14,20.1,322,365,3767,6.4,26,206,24.7,395,957,5312,5.6,290,75,198,37.9,21,45,46.7,95,776,29:46,8,24.7,1843,4.4,55,13.2,27,5.0,77,14.2,24.7,395,326,514,63.4,3469,6.7,10.6,21,16,170,27,179,84,24.7,395,416,1843,4.4,15,97,29:46,24.7,395,326,3469,6.7,21,170
