TeamName,OpponentPointsPerGame,OpponentScore,OpponentRushingAttempts,OpponentRushingYards,OpponentRushingYardsPerAttempt,OpponentRushingTouchdowns,OpponentFirstDownsByRushing,OpponentTimeOfPossession
49ers,14.3,229,355,1238,3.5,3,53,28:03
Ravens,16.6,266,419,1482,3.5,11,79,29:25
Texans,17.4,278,378,1536,4.1,8,73,27:20
Dolphins,19.6,313,411,1536,3.7,8,88,30:51
Bears,21.3,341,384,1542,4,10,75,30:59
Falcons,21.9,350,371,1555,4.2,10,87,28:07
Cowboys,21.7,347,385,1585,4.1,10,78,30:33
Steelers,14.2,227,399,1597,4,7,82,27:27
Jaguars,20.6,329,435,1667,3.8,14,73,30:58
Bengals,20.2,323,425,1675,3.9,14,94,30:41
Vikings,28.1,449,439,1712,3.9,10,92,31:25
Saints,21.2,339,351,1738,5,11,92,28:26
Jets,22.7,363,451,1777,3.9,17,83,29:11
Packers,22.4,359,384,1796,4.7,11,97,30:31
Seahawks,19.7,315,472,1799,3.8,10,96,32:11
Eagles,20.5,328,414,1801,4.4,11,84,29:40
Patriots,21.4,342,403,1862,4.6,13,100,31:13
Redskins,22.9,367,438,1884,4.3,15,95,30:09
Giants,25,400,435,1940,4.5,15,103,30:30
Chargers,23.6,377,448,1956,4.4,8,102,29:04
Cardinals,21.8,348,475,1986,4.2,15,118,32:26
Broncos,24.4,390,488,2021,4.1,12,101,32:04
Titans,19.8,317,461,2046,4.4,10,111,32:06
Lions,24.2,387,409,2052,5,10,91,30:58
Panthers,26.8,429,451,2093,4.6,18,110,30:44
Chiefs,21.1,338,508,2112,4.2,14,96,31:13
Raiders,27.1,433,430,2172,5.1,15,105,30:13
Bills,27.1,434,467,2224,4.8,19,120,30:49
Colts,26.9,430,540,2303,4.3,19,136,34:47
Browns,19.2,307,535,2356,4.4,12,124,31:00
Rams,25.4,407,509,2434,4.8,17,122,32:56
Buccaneers,30.9,494,498,2497,5,26,135,31:59
