TeamName,OpponentPointsPerGame,OpponentScore,OpponentPassingCompletions,OpponentPassingYards,OpponentPassingYardsPerAttempt,OpponentPassingTouchdowns,OpponentFirstDownsByPassing
Steelers,14.2,227,289,2751,5.2,15,156
Browns,19.2,307,265,2962,6.3,16,149
Texans,17.4,278,279,3035,5.6,18,166
Ravens,16.6,266,288,3140,5.9,11,166
Jets,22.7,363,275,3216,6.3,15,167
Chiefs,21.1,338,257,3221,7.1,23,169
Rams,25.4,407,292,3278,6.8,21,165
Jaguars,20.6,329,326,3341,6.5,21,175
Bengals,20.2,323,319,3385,6.3,21,170
Eagles,20.5,328,301,3397,6.6,27,173
Seahawks,19.7,315,324,3516,6.5,18,174
Redskins,22.9,367,308,3553,7,22,180
Chargers,23.6,377,299,3591,7.5,29,186
Titans,19.8,317,369,3629,6.1,21,187
Colts,26.9,430,351,3632,7.4,25,193
49ers,14.3,229,333,3695,6.4,20,190
Cardinals,21.8,348,340,3696,6.4,17,174
Broncos,24.4,390,333,3704,6.9,24,182
Bills,27.1,434,321,3722,7.3,30,196
Falcons,21.9,350,340,3783,6.8,25,186
Buccaneers,30.9,494,301,3814,7.9,30,188
Lions,24.2,387,376,3829,6.3,26,195
Cowboys,21.7,347,336,3903,7.2,24,199
Panthers,26.8,429,318,3949,8.1,28,191
Dolphins,19.6,313,350,3986,6.8,24,198
Vikings,28.1,449,367,4019,7.5,34,213
Raiders,27.1,433,324,4029,6.7,31,206
Bears,21.3,341,383,4065,6.4,22,199
Giants,25,400,361,4082,6.9,28,210
Saints,21.2,339,362,4157,6.6,24,196
Patriots,21.4,342,388,4722,7.6,26,246
Packers,22.4,359,389,4787,7.5,29,245
