TeamName,OpponentPointsPerGame,OpponentScore,OpponentPassingCompletions,OpponentPassingAttempts,OpponentCompletionPercentage,OpponentPassingYards,OpponentPassingYardsPerAttempt,OpponentPassingYardsPerCompletion,OpponentPassingTouchdowns,OpponentPassingInterceptions,OpponentFirstDownsByPassing,OpponentTimesSacked,OpponentTimesSackedYards,OpponentPasserRating
Steelers,14.2,227,289,530,54.5,2751,5.2,9.5,15,11,156,35,230,70
Browns,19.2,307,265,469,56.5,2962,6.3,11.2,16,9,149,31,196,79
Texans,17.4,278,279,538,51.9,3035,5.6,10.9,18,17,166,44,287,67
Ravens,16.6,266,288,535,53.8,3140,5.9,10.9,11,15,166,48,290,67
Jets,22.7,363,275,507,54.2,3216,6.3,11.7,15,19,167,35,198,68
Chiefs,21.1,338,257,454,56.6,3221,7.1,12.5,23,20,169,29,186,77
Rams,25.4,407,292,483,60.5,3278,6.8,11.2,21,12,165,39,261,85
Jaguars,20.6,329,326,513,63.5,3341,6.5,10.2,21,17,175,31,213,82
Bengals,20.2,323,319,539,59.2,3385,6.3,10.6,21,10,170,45,277,83
Eagles,20.5,328,301,518,58.1,3397,6.6,11.3,27,15,173,50,316,83
Seahawks,19.7,315,324,543,59.7,3516,6.5,10.9,18,22,174,34,234,73
Redskins,22.9,367,308,509,60.5,3553,7,11.5,22,13,180,41,251,85
Chargers,23.6,377,299,478,62.6,3591,7.5,12,29,17,186,32,187,91
Titans,19.8,317,369,591,62.4,3629,6.1,9.8,21,11,187,28,180,84
Colts,26.9,430,351,493,71.2,3632,7.4,10.3,25,8,193,29,192,102
49ers,14.3,229,333,579,57.5,3695,6.4,11.1,20,23,190,40,283,72
Cardinals,21.8,348,340,578,58.8,3696,6.4,10.9,17,10,174,42,304,80
Broncos,24.4,390,333,534,62.4,3704,6.9,11.1,24,9,182,41,283,91
Bills,27.1,434,321,508,63.2,3722,7.3,11.6,30,21,196,28,202,88
Falcons,21.9,350,340,560,60.7,3783,6.8,11.1,25,19,186,34,234,82
Buccaneers,30.9,494,301,481,62.6,3814,7.9,12.7,30,14,188,23,148,96
Lions,24.2,387,376,604,62.3,3829,6.3,10.2,26,21,195,42,273,80
Cowboys,21.7,347,336,545,61.7,3903,7.2,11.6,24,15,199,42,243,87
Panthers,26.8,429,318,490,64.9,3949,8.1,12.4,28,14,191,31,170,97
Dolphins,19.6,313,350,590,59.3,3986,6.8,11.4,24,16,198,42,247,82
Vikings,28.1,449,367,538,68.2,4019,7.5,11,34,8,213,50,342,105
Raiders,27.1,433,324,600,54,4029,6.7,12.4,31,18,206,39,233,80
Bears,21.3,341,383,631,60.7,4065,6.4,10.6,22,20,199,33,208,78
Giants,25,400,361,589,61.3,4082,6.9,11.3,28,20,210,48,335,84
Saints,21.2,339,362,626,57.8,4157,6.6,11.5,24,9,196,33,256,85
Patriots,21.4,342,388,621,62.5,4722,7.6,12.2,26,23,246,40,274,84
Packers,22.4,359,389,636,61.2,4787,7.5,12.3,29,31,245,29,192,79
