TeamName,OpponentPointsPerGame,OpponentRushingYards,OpponentRushingYardsPerAttempt,TacklesForLoss,TacklesForLossPercentage,OpponentTimesSacked,OpponentTimesSackedPercentage,QuarterbackHits,QuarterbackHitsPercentage
Eagles,20.5,1801,4.4,98,23.7,50,8.8,89,15.7
Vikings,28.1,1712,3.9,84,19.1,50,8.5,79,13.4
Ravens,16.6,1482,3.5,74,17.7,48,8.2,87,14.9
Giants,25,1940,4.5,88,20.2,48,7.5,87,13.7
Bengals,20.2,1675,3.9,81,19.1,45,7.7,102,17.5
Texans,17.4,1536,4.1,74,19.6,44,7.6,104,17.9
Cardinals,21.8,1986,4.2,92,19.4,42,6.8,79,12.7
Lions,24.2,2052,5,65,15.9,42,6.5,70,10.8
Cowboys,21.7,1585,4.1,91,23.6,42,7.2,89,15.2
Dolphins,19.6,1536,3.7,79,19.2,42,6.6,90,14.2
Broncos,24.4,2021,4.1,87,17.8,41,7.1,73,12.7
Redskins,22.9,1884,4.3,61,13.9,41,7.5,78,14.2
Patriots,21.4,1862,4.6,64,15.9,40,6.1,88,13.3
49ers,14.3,1238,3.5,72,20.3,40,6.5,88,14.2
Rams,25.4,2434,4.8,86,16.9,39,7.5,77,14.8
Raiders,27.1,2172,5.1,70,16.3,39,6.1,77,12.1
Steelers,14.2,1597,4,65,16.3,35,6.2,70,12.4
Jets,22.7,1777,3.9,70,15.5,35,6.5,64,11.8
Falcons,21.9,1555,4.2,73,19.7,34,5.7,78,13.1
Seahawks,19.7,1799,3.8,77,16.3,34,5.9,73,12.7
Bears,21.3,1542,4,85,22.1,33,5,59,8.9
Saints,21.2,1738,5,59,16.8,33,5,75,11.4
Chargers,23.6,1956,4.4,69,15.4,32,6.3,49,9.6
Panthers,26.8,2093,4.6,66,14.6,31,6,48,9.2
Browns,19.2,2356,4.4,65,12.1,31,6.2,56,11.2
Jaguars,20.6,1667,3.8,63,14.5,31,5.7,65,11.9
Packers,22.4,1796,4.7,56,14.6,29,4.4,63,9.5
Colts,26.9,2303,4.3,62,11.5,29,5.6,57,10.9
Chiefs,21.1,2112,4.2,59,11.6,29,6,62,12.8
Titans,19.8,2046,4.4,70,15.2,28,4.5,58,9.4
Bills,27.1,2224,4.8,58,12.4,28,5.2,51,9.5
Buccaneers,30.9,2497,5,83,16.7,23,4.6,44,8.7
