TeamName,PointsPerGame,Score,RushingAttempts,RushingYards,RushingYardsPerAttempt,RushingTouchdowns,FirstDownsByRushing,TimeOfPossession
Jets,21.8,348,607,2756,4.5,21,132,32:07
Titans,22.1,354,499,2592,5.2,19,115,29:42
Panthers,19.7,315,525,2498,4.8,18,123,30:13
Dolphins,22.5,360,509,2231,4.4,22,129,32:01
Ravens,24.4,391,468,2200,4.7,22,115,30:33
Saints,31.9,510,468,2106,4.5,21,115,32:36
Cowboys,22.6,361,436,2103,4.8,14,110,32:17
Browns,15.3,245,498,2087,4.2,10,102,29:54
Bengals,19.1,305,505,2056,4.1,9,109,32:29
Jaguars,18.1,290,447,2029,4.5,19,114,30:21
Chiefs,18.4,294,438,1929,4.4,8,91,28:00
Patriots,26.7,427,466,1921,4.1,19,114,33:05
Vikings,29.4,470,467,1918,4.1,19,99,33:51
Packers,28.8,461,438,1885,4.3,20,102,33:03
Falcons,22.7,363,451,1876,4.2,15,105,30:54
Bills,16.1,258,424,1867,4.4,6,81,28:12
Giants,25.1,402,443,1837,4.1,14,103,32:41
Broncos,20.4,326,440,1836,4.2,9,95,30:12
Steelers,23,368,428,1793,4.2,10,96,33:52
Rams,10.9,175,411,1784,4.3,4,79,29:10
Raiders,12.3,197,410,1701,4.1,7,81,28:18
Eagles,26.8,429,384,1637,4.3,14,87,28:14
Buccaneers,15.2,244,404,1627,4,5,80,29:44
Lions,16.4,262,409,1616,4,9,82,29:57
49ers,20.6,330,371,1600,4.3,12,77,30:46
Seahawks,17.5,280,395,1566,4,7,80,28:31
Redskins,16.6,266,391,1510,3.9,8,72,29:01
Cardinals,23.4,375,365,1494,4.1,16,77,30:52
Bears,20.4,327,373,1492,4,6,71,29:37
Texans,24.2,388,425,1475,3.5,14,93,32:54
Chargers,28.4,454,427,1423,3.3,17,80,30:58
Colts,26,416,366,1294,3.5,16,69,28:40
