TeamName,PointsPerGame,RushingYards,RushingYardsPerAttempt,OpponentTacklesForLoss,OpponentTacklesForLossPercentage,TimesSacked,TimesSackedPercentage,OpponentQuarterbackHits,OpponentQuarterbackHitsPercentage
Colts,26,1294,3.5,55,15,13,2.1,43,7
Titans,22.1,2592,5.2,72,14.4,15,3.1,44,9
Patriots,26.7,1921,4.1,54,11.6,18,3,70,11.5
Saints,31.9,2106,4.5,54,11.5,20,3.5,53,9.4
Texans,24.2,1475,3.5,58,13.6,25,4,92,14.9
Cardinals,23.4,1494,4.1,62,17,26,4.2,88,14.2
Chargers,28.4,1423,3.3,67,15.7,26,4.8,55,10.1
Falcons,22.7,1876,4.2,52,11.5,27,4.5,69,11.6
Bengals,19.1,2056,4.1,69,13.7,29,5.7,56,11.1
Browns,15.3,2087,4.2,69,13.9,30,6.3,58,12.3
Jets,21.8,2756,4.5,71,11.7,30,7.1,50,11.8
Giants,25.1,1837,4.1,75,16.9,32,5.6,67,11.7
Panthers,19.7,2498,4.8,85,16.2,33,6.6,67,13.5
Buccaneers,15.2,1627,4,69,17.1,33,5.9,88,15.8
Cowboys,22.6,2103,4.8,75,17.2,34,5.8,78,13.4
Broncos,20.4,1836,4.2,75,17,34,5.7,64,10.8
Dolphins,22.5,2231,4.4,69,13.6,34,5.9,65,11.2
Vikings,29.4,1918,4.1,86,18.4,34,5.8,83,14.1
Bears,20.4,1492,4,70,18.8,35,5.9,78,13
Ravens,24.4,2200,4.7,83,17.7,36,6.6,71,13
Eagles,26.8,1637,4.3,68,17.7,38,6.4,69,11.7
49ers,20.6,1600,4.3,80,21.6,40,7,87,15.3
Seahawks,17.5,1566,4,98,24.8,41,6.3,90,13.8
Lions,16.4,1616,4,89,21.8,43,6.8,93,14.8
Rams,10.9,1784,4.3,88,21.4,44,7.5,102,17.4
Jaguars,18.1,2029,4.5,72,16.1,44,7.8,130,23.1
Chiefs,18.4,1929,4.4,104,23.7,45,7.7,86,14.8
Bills,16.1,1867,4.4,75,17.7,46,9.4,108,22.2
Redskins,16.6,1510,3.9,80,20.5,46,7.9,97,16.8
Raiders,12.3,1701,4.1,71,17.3,49,9.2,93,17.4
Steelers,23,1793,4.2,77,18,50,8.5,88,15
Packers,28.8,1885,4.3,80,18.3,51,8.4,96,15.9
