TeamName,PointsPerGame,Score,PassingCompletions,PassingAttempts,CompletionPercentage,PassingYards,PassingYardsPerAttempt,PassingYardsPerCompletion,PassingTouchdowns,PassingInterceptions,FirstDownsByPassing,TimesSacked,TimesSackedYards,PasserRating
Texans,24.2,388,399,593,67.3,4654,7.8,11.7,29,17,231,25,undefined,95
Colts,26,416,402,601,66.9,4515,7.5,11.2,34,19,241,13,undefined,95
Patriots,26.7,427,390,592,65.9,4436,7.5,11.4,28,13,222,18,undefined,95
Saints,31.9,510,378,544,69.5,4355,8,11.5,34,12,215,20,undefined,105
Chargers,28.4,454,338,519,65.1,4338,8.4,12.8,29,10,222,26,undefined,102
Cowboys,22.6,361,347,550,63.1,4287,7.8,12.4,26,9,203,34,undefined,96
Packers,28.8,461,357,553,64.6,4180,7.6,11.7,30,8,201,51,undefined,99
Vikings,29.4,470,377,553,68.2,4156,7.5,11,34,7,220,34,undefined,105
Steelers,23,368,351,536,65.5,4148,7.7,11.8,28,14,210,50,undefined,95
Eagles,26.8,429,335,553,60.6,4089,7.4,12.2,27,13,182,38,undefined,90
Giants,25.1,402,338,542,62.4,4019,7.4,11.9,28,14,194,32,undefined,91
Cardinals,23.4,375,392,594,66,4016,6.8,10.2,27,18,215,26,undefined,88
Broncos,20.4,326,341,558,61.1,3627,6.5,10.6,21,13,186,34,undefined,83
Falcons,22.7,363,332,570,58.2,3571,6.3,10.8,26,17,192,27,undefined,80
Seahawks,17.5,280,372,609,61.1,3503,5.8,9.4,20,19,184,41,undefined,75
Redskins,16.6,266,340,533,63.8,3490,6.5,10.3,21,16,191,46,undefined,83
Bears,20.4,327,340,563,60.4,3473,6.2,10.2,27,27,170,35,undefined,74
Ravens,24.4,391,321,510,62.9,3419,6.7,10.7,21,13,187,36,undefined,86
Jaguars,18.1,290,315,519,60.7,3356,6.5,10.7,15,10,170,44,undefined,81
Dolphins,22.5,360,331,545,60.7,3170,5.8,9.6,15,19,188,34,undefined,72
Lions,16.4,262,316,585,54,3168,5.4,10,16,32,168,43,undefined,56
49ers,20.6,330,312,528,59.1,3052,5.8,9.8,23,14,137,40,undefined,79
Titans,22.1,354,271,476,56.9,3031,6.4,11.2,16,15,154,15,undefined,74
Buccaneers,15.2,244,279,524,53.2,2973,5.7,10.7,18,29,148,33,undefined,58
Chiefs,18.4,294,296,536,55.2,2922,5.5,9.9,18,17,139,45,undefined,69
Bengals,19.1,305,286,477,60,2890,6.1,10.1,21,13,159,29,undefined,81
Panthers,19.7,315,264,465,56.8,2799,6,10.6,16,20,152,33,undefined,68
Rams,10.9,175,312,543,57.5,2686,4.9,8.6,12,21,159,44,undefined,62
Raiders,12.3,197,255,485,52.6,2557,5.3,10,10,18,131,49,undefined,59
Bills,16.1,258,256,441,58,2515,5.7,9.8,17,19,126,46,undefined,69
Jets,21.8,348,210,393,53.4,2380,6.1,11.3,12,21,131,30,undefined,60
Browns,15.3,245,219,443,49.4,2076,4.7,9.5,11,18,118,30,undefined,54
