TeamName,PointsPerGame,Score,PassingCompletions,PassingYards,PassingYardsPerAttempt,PassingTouchdowns,FirstDownsByPassing
Broncos,37.9,606,461,5444,8.1,55,293
Saints,25.9,414,446,4918,7.6,39,244
Lions,24.7,395,371,4477,7.1,29,221
Chargers,24.8,396,378,4328,8,32,230
Bears,27.8,445,374,4279,7.4,32,215
Packers,26.1,417,366,4268,7.5,25,201
Falcons,22.1,353,445,4243,6.4,26,227
Bengals,26.9,430,364,4139,7.1,33,205
Eagles,27.6,442,310,4110,8.1,32,197
Patriots,27.8,444,380,4087,6.5,25,225
Browns,19.2,308,379,4040,5.9,26,200
Steelers,23.7,379,377,4017,6.9,28,207
Cardinals,23.7,379,363,4002,7,24,205
Cowboys,27.4,439,375,3954,6.7,33,213
Texans,17.2,276,371,3813,6,19,198
Redskins,20.9,334,355,3751,6.1,20,198
Colts,24.4,391,350,3725,6.4,23,191
Ravens,20,320,363,3590,5.8,19,189
Giants,18.4,294,325,3588,6.3,18,176
Dolphins,19.8,317,357,3567,6,24,205
Titans,22.6,362,328,3496,6.6,22,172
Jaguars,15.4,247,349,3441,5.8,16,176
Vikings,24.4,391,325,3427,6.3,18,173
Chiefs,26.9,430,333,3340,6.1,24,179
Raiders,20.1,322,298,3340,6.4,17,168
Seahawks,26.1,417,267,3236,7.7,27,160
Rams,21.8,348,301,3125,6.2,22,165
Bills,21.2,339,299,3103,5.9,16,149
Panthers,22.9,366,292,3043,6.4,24,169
49ers,25.4,406,244,2979,7.1,21,148
Jets,18.1,290,266,2932,6.1,13,154
Buccaneers,18,288,291,2820,5.5,22,157
