TeamName,PointsPerGame,RushingYards,RushingYardsPerAttempt,OpponentTacklesForLoss,OpponentTacklesForLossPercentage,TimesSacked,TimesSackedPercentage,OpponentQuarterbackHits,OpponentQuarterbackHitsPercentage
Broncos,37.9,1875,4.1,49,10.6,20,2.9,48,6.9
Lions,24.7,1797,4,61,13.7,24,3.6,65,9.9
Bengals,26.9,1755,3.6,59,12.3,29,4.7,49,8
Bears,27.8,1830,4.5,68,16.9,30,4.9,78,12.8
Chargers,24.8,1965,4,52,10.7,30,5.2,56,9.8
Colts,24.4,1743,4.3,55,13.4,32,5.2,102,16.6
Cowboys,27.4,1504,4.5,63,18.8,35,5.6,54,8.7
Rams,21.8,1752,4.1,76,17.8,36,6.6,70,12.9
Titans,22.6,1894,4.1,76,16.5,37,6.5,78,13.7
Saints,25.9,1473,3.8,82,21,37,5.4,76,11
Patriots,27.8,2065,4.4,61,13,39,5.8,79,11.8
49ers,25.4,2201,4.4,87,17.2,39,8.6,58,12.7
Giants,18.4,1332,3.5,87,22.8,40,6.6,80,13.2
Cardinals,23.7,1540,3.6,74,17.5,41,6.7,97,15.8
Chiefs,26.9,2055,4.6,71,16,41,7,73,12.4
Texans,17.2,1743,4.2,81,19.6,42,6.2,106,15.7
Panthers,22.9,2026,4.2,81,16.8,43,8.3,60,11.6
Steelers,23.7,1384,3.5,77,19.5,43,6.8,62,9.9
Redskins,20.9,2164,4.8,76,16.8,43,6.6,88,13.5
Falcons,22.1,1247,3.9,83,25.9,44,6.3,100,14.2
Vikings,24.4,2081,4.9,75,17.7,44,7.5,79,13.4
Raiders,20.1,2000,4.6,70,16,44,7.8,62,11
Seahawks,26.1,2188,4.3,78,15.3,44,9.5,92,19.8
Packers,26.1,2136,4.7,74,16.1,45,7.3,73,11.9
Eagles,27.6,2566,5.1,91,18.2,46,8.3,81,14.6
Jets,18.1,2158,4.4,73,14.8,47,8.9,92,17.5
Buccaneers,18,1612,3.8,83,19.8,47,8.4,75,13.4
Ravens,20,1328,3.1,91,21.5,48,7.2,87,13
Bills,21.2,2307,4.2,92,16.8,48,8.4,101,17.7
Browns,19.2,1383,4,65,18.7,49,6.7,118,16.2
Jaguars,15.4,1260,3.3,94,24.9,50,7.8,100,15.6
Dolphins,19.8,1440,4.1,96,27.5,58,8.9,93,14.3
