TeamName,PointsPerGame,Score,PassingCompletions,PassingYards,PassingYardsPerAttempt,PassingTouchdowns,FirstDownsByPassing
Saints,25.5,408,460,4970,7.5,32,247
Cardinals,30.6,489,353,4616,8.2,35,237
Steelers,26.4,423,391,4603,7.8,26,207
Chargers,20,320,442,4591,6.9,30,230
Patriots,29.1,465,404,4587,7.3,36,229
Falcons,21.2,339,410,4379,7.1,21,230
Giants,26.2,420,392,4343,7,36,208
Ravens,20.5,328,426,4271,6.3,21,211
Lions,22.4,358,420,4212,6.7,33,236
Jaguars,23.5,376,355,4108,6.8,35,215
Redskins,24.2,388,386,4095,7.4,30,208
Eagles,23.6,377,405,4087,6.6,23,193
Jets,24.2,387,362,4057,6.7,33,210
Broncos,22.2,355,368,3970,6.6,19,201
Bengals,26.2,419,334,3923,7.8,31,191
Raiders,22.4,359,373,3879,6.4,34,193
Buccaneers,21.4,342,312,3852,7.2,22,201
Texans,21.2,339,358,3833,6.2,29,210
Dolphins,19.4,310,365,3811,6.5,24,194
Seahawks,26.4,423,333,3790,7.8,34,190
Browns,17.4,278,371,3782,6.2,20,192
Colts,20.8,333,355,3704,6,26,195
Bears,20.9,335,334,3660,7,21,177
Panthers,31.2,500,300,3589,7.2,35,197
Packers,23,368,348,3503,6.1,31,173
Titans,18.7,299,342,3503,6.4,25,195
Cowboys,17.2,275,334,3471,6.6,16,175
Bills,23.7,379,295,3343,7.2,23,155
49ers,14.9,238,322,3316,6.3,16,154
Chiefs,25.3,405,310,3255,6.9,20,155
Vikings,22.8,365,294,2928,6.4,14,153
Rams,17.5,280,273,2805,5.9,11,126
