TeamName,PointsPerGame,RushingYards,RushingYardsPerAttempt,OpponentTacklesForLoss,OpponentTacklesForLossPercentage,TimesSacked,TimesSackedPercentage,OpponentQuarterbackHits,OpponentQuarterbackHitsPercentage
Rams,17.5,1956,4.6,68,15.9,18,3.7,96,19.6
Jets,24.2,1868,4.2,67,15,22,3.5,71,11.3
Ravens,20.5,1478,3.9,63,16.4,24,3.4,82,11.7
Cardinals,30.6,1917,4.2,65,14.4,27,4.6,103,17.5
Giants,26.2,1609,4,64,15.9,27,4.2,69,10.6
Buccaneers,21.4,2162,4.8,66,14.5,27,4.8,108,19.2
Redskins,24.2,1566,3.7,67,15.6,27,4.6,79,13.6
Falcons,21.2,1606,3.8,69,16.4,32,4.9,90,13.8
Bengals,26.2,1805,3.9,60,12.8,32,6,59,11
Saints,25.5,1491,3.8,65,16.4,32,4.6,78,11.2
Panthers,31.2,2282,4.3,65,12.4,33,6.2,59,11
Steelers,26.4,1724,4.4,68,17.5,33,5.3,59,9.5
Cowboys,17.2,1890,4.6,64,15.7,33,5.9,60,10.7
Raiders,22.4,1457,3.9,60,16.2,33,5.2,64,10
Bears,20.9,1854,4,55,11.8,34,6.1,81,14.5
Texans,21.2,1731,3.7,57,12.1,36,5.5,80,12.2
Colts,20.8,1438,3.6,55,13.9,37,5.6,118,18
Eagles,23.6,1743,3.9,71,16.1,37,5.6,89,13.5
Patriots,29.1,1404,3.7,52,13.6,38,5.7,95,14.2
Broncos,22.2,1718,4.2,72,17.5,39,6,98,15.2
Chargers,20,1358,3.5,80,20.4,40,5.7,110,15.6
Bills,23.7,2432,4.8,76,14.9,42,8.3,74,14.6
Lions,22.4,1335,3.8,77,21.8,44,6.5,106,15.7
Dolphins,19.4,1496,4.3,67,19.5,45,7.1,107,16.9
Vikings,22.8,2211,4.7,100,21.1,45,9,92,18.4
Chiefs,25.3,2044,4.7,78,17.9,46,8.9,82,15.8
Seahawks,26.4,2268,4.5,69,13.8,46,8.6,117,21.9
Packers,23,1850,4.2,83,19,47,7.6,101,16.3
Jaguars,23.5,1473,4.2,61,17.2,51,7.8,93,14.1
Browns,17.4,1529,4,85,22.4,53,8,126,19
49ers,14.9,1544,4,87,22.3,53,9.2,102,17.6
Titans,18.7,1485,4,75,20.2,54,8.9,103,17
