TeamName,PointsPerGame,Score,PassingCompletions,PassingYards,PassingYardsPerAttempt,PassingTouchdowns,FirstDownsByPassing
Colts,28.6,458,410,4894,7.4,42,251
Steelers,27.2,436,411,4812,7.9,33,243
Saints,25.1,401,456,4764,7.2,33,258
Broncos,30.1,482,399,4661,7.7,40,227
Falcons,23.8,381,418,4553,7.2,28,233
Eagles,29.6,474,385,4356,7,27,218
Giants,23.8,380,383,4272,7,30,218
Packers,30.4,486,349,4261,7.9,38,222
Patriots,29.2,468,393,4121,6.8,34,228
Chargers,21.8,348,380,4099,7.1,31,214
Redskins,18.8,301,364,4047,7.4,18,186
Lions,20.1,321,365,4020,6.7,22,210
Ravens,25.6,409,344,3819,6.9,27,194
Cardinals,19.4,310,320,3808,6.7,21,191
Bears,19.9,319,396,3792,6.2,30,194
Cowboys,29.2,467,328,3784,7.9,37,205
Dolphins,24.2,388,394,3729,6.3,27,226
Bills,21.4,343,363,3614,6.2,23,186
Panthers,21.2,339,327,3511,6.4,23,199
Browns,18.7,299,275,3481,6.9,12,179
Bengals,22.8,365,323,3421,6.8,20,164
Titans,15.9,254,299,3412,6.7,20,159
Rams,20.2,324,327,3400,6.6,20,189
Texans,23.2,372,295,3347,6.9,22,171
Buccaneers,17.3,277,301,3297,6.2,21,162
Raiders,15.8,253,365,3280,5.2,22,173
Seahawks,24.6,394,287,3250,7.2,20,160
Vikings,20.3,325,322,3234,6.3,17,171
Chiefs,22.1,353,320,3182,6.5,18,184
49ers,19.1,306,292,3063,6.3,20,165
Jaguars,15.6,249,325,3000,5.4,15,154
Jets,17.7,283,287,2946,5.9,16,154
