TeamName,PointsPerGame,Score,PassingCompletions,PassingAttempts,CompletionPercentage,PassingYards,PassingYardsPerAttempt,PassingYardsPerCompletion,PassingTouchdowns,PassingInterceptions,FirstDownsByPassing,TimesSacked,TimesSackedYards,PasserRating
Colts,28.6,458,410,661,62,4894,7.4,11.9,42,16,251,29,undefined,96
Steelers,27.2,436,411,612,67.2,4812,7.9,11.7,33,10,243,34,undefined,102
Saints,25.1,401,456,659,69.2,4764,7.2,10.4,33,17,258,30,undefined,96
Broncos,30.1,482,399,607,65.7,4661,7.7,11.7,40,15,227,17,undefined,101
Falcons,23.8,381,418,632,66.1,4553,7.2,10.9,28,15,233,31,undefined,92
Eagles,29.6,474,385,622,61.9,4356,7,11.3,27,21,218,32,undefined,83
Giants,23.8,380,383,607,63.1,4272,7,11.2,30,14,218,30,undefined,91
Packers,30.4,486,349,536,65.1,4261,7.9,12.2,38,6,222,30,undefined,108
Patriots,29.2,468,393,610,64.4,4121,6.8,10.5,34,9,228,26,undefined,96
Chargers,21.8,348,380,574,66.2,4099,7.1,10.8,31,18,214,36,undefined,92
Redskins,18.8,301,364,547,66.5,4047,7.4,11.1,18,18,186,58,undefined,86
Lions,20.1,321,365,604,60.4,4020,6.7,11,22,12,210,45,undefined,84
Ravens,25.6,409,344,555,62,3819,6.9,11.1,27,12,194,19,undefined,90
Cardinals,19.4,310,320,568,56.3,3808,6.7,11.9,21,12,191,28,undefined,80
Bears,19.9,319,396,609,65,3792,6.2,9.6,30,19,194,41,undefined,86
Cowboys,29.2,467,328,476,68.9,3784,7.9,11.5,37,11,205,30,undefined,109
Dolphins,24.2,388,394,595,66.2,3729,6.3,9.5,27,12,226,46,undefined,90
Bills,21.4,343,363,579,62.7,3614,6.2,10,23,13,186,39,undefined,84
Panthers,21.2,339,327,545,60,3511,6.4,10.7,23,12,199,42,undefined,84
Browns,18.7,299,275,503,54.7,3481,6.9,12.7,12,16,179,30,undefined,71
Bengals,22.8,365,323,504,64.1,3421,6.8,10.6,20,17,164,23,undefined,83
Titans,15.9,254,299,513,58.3,3412,6.7,11.4,20,16,159,50,undefined,78
Rams,20.2,324,327,515,63.5,3400,6.6,10.4,20,16,189,47,undefined,82
Texans,23.2,372,295,485,60.8,3347,6.9,11.3,22,13,171,26,undefined,85
Buccaneers,17.3,277,301,531,56.7,3297,6.2,11,21,20,162,52,undefined,73
Raiders,15.8,253,365,629,58,3280,5.2,9,22,16,173,27,undefined,73
Seahawks,24.6,394,287,454,63.2,3250,7.2,11.3,20,7,160,42,undefined,93
Vikings,20.3,325,322,517,62.3,3234,6.3,10,17,18,171,52,undefined,76
Chiefs,22.1,353,320,493,64.9,3182,6.5,9.9,18,6,184,49,undefined,90
49ers,19.1,306,292,487,60,3063,6.3,10.5,20,10,165,52,undefined,83
Jaguars,15.6,249,325,557,58.3,3000,5.4,9.2,15,18,154,71,undefined,69
Jets,17.7,283,287,498,57.6,2946,5.9,10.3,16,15,154,47,undefined,73
