TeamName,PointsPerGame,RushingYards,RushingYardsPerAttempt,OpponentTacklesForLoss,OpponentTacklesForLossPercentage,TimesSacked,TimesSackedPercentage,OpponentQuarterbackHits,OpponentQuarterbackHitsPercentage
Broncos,30.1,1785,4,54,12.2,17,2.7,41,6.6
Ravens,25.6,2016,4.5,69,15.4,19,3.3,56,9.8
Bengals,22.8,2147,4.4,54,11,23,4.4,48,9.1
Texans,23.2,2161,3.9,75,13.6,26,5.1,80,15.7
Patriots,29.2,1727,3.9,56,12.8,26,4.1,83,13.1
Raiders,15.8,1235,3.7,69,20.4,27,4.1,55,8.4
Cardinals,19.4,1308,3.3,77,19.4,28,4.7,99,16.6
Colts,28.6,1602,3.9,69,16.6,29,4.2,93,13.5
Browns,18.7,1712,3.6,89,18.7,30,5.6,76,14.3
Packers,30.4,1917,4.4,65,14.9,30,5.3,56,9.9
Cowboys,29.2,2354,4.6,81,15.9,30,5.9,52,10.3
Saints,25.1,1818,4.5,62,15.3,30,4.4,76,11
Giants,23.8,1603,3.6,68,15.1,30,4.7,68,10.7
Falcons,23.8,1498,4,63,16.9,31,4.7,88,13.3
Eagles,29.6,1992,4.2,83,17.4,32,4.9,59,9
Steelers,27.2,1752,4.2,65,15.4,34,5.3,65,10.1
Chargers,21.8,1369,3.4,89,22.3,36,5.9,74,12.1
Bills,21.4,1482,3.7,82,20.4,39,6.3,86,13.9
Bears,19.9,1441,4.1,72,20.3,41,6.3,78,12
Panthers,21.2,2035,4.3,80,16.8,42,7.2,68,11.6
Seahawks,24.6,2762,5.3,79,15,42,8.5,86,17.3
Lions,20.1,1422,3.6,81,20.5,45,6.9,88,13.6
Dolphins,24.2,1872,4.7,86,21.6,46,7.2,102,15.9
Rams,20.2,1635,4.1,86,21.8,47,8.4,87,15.5
Jets,17.7,2279,4.5,83,16.4,47,8.6,86,15.8
Chiefs,22.1,1918,4.6,85,20.2,49,9,79,14.6
Titans,15.9,1447,4.1,70,19.7,50,8.9,91,16.2
Vikings,20.3,1805,4.4,84,20.4,52,9.1,97,17
49ers,19.1,2175,4.6,95,20.2,52,9.6,70,13
Buccaneers,17.3,1375,3.9,78,22,52,8.9,120,20.6
Redskins,18.8,1691,4.2,87,21.7,58,9.6,107,17.7
Jaguars,15.6,1633,4.5,105,29.1,71,11.3,117,18.6
